,callsign,stop,ILS_max
0,ETH700,2020-03-27 06:10:23+00:00,09R
1,MAU42,2020-03-27 06:19:31+00:00,09R
2,QTR4LA,2020-03-27 12:47:45+00:00,09L
3,QTR5DR,2020-03-27 06:13:13+00:00,09R
4,QTR5CF,2020-03-27 19:39:59+00:00,09R
5,QTR1VU,2020-03-27 11:52:47+00:00,09L
6,AZA206,2020-03-27 12:41:53+00:00,09R
7,IBE3172,2020-03-27 16:47:50+00:00,09R
8,IBE31AA,2020-03-27 09:03:43+00:00,09L
9,AFR48VR,2020-03-27 13:36:36+00:00,09R
10,BCS6757,2020-03-27 20:17:44+00:00,09R
11,EWG6GC,2020-03-27 11:37:02+00:00,09L
12,DLH3KW,2020-03-27 14:05:58+00:00,09L
13,DLH900,2020-03-27 08:06:22+00:00,09R
14,BAW34N,2020-03-27 10:47:35+00:00,09R
15,BAW58L,2020-03-27 04:38:05+00:00,09R
16,BAW32N,2020-03-27 06:23:03+00:00,09L
17,BAW9E,2020-03-27 06:35:12+00:00,09L
18,BAW164,2020-03-27 19:28:44+00:00,09L
19,BAW64M,2020-03-27 06:06:10+00:00,09R
20,BAW65,2020-03-27 12:14:48+00:00,09L
21,BAW178,2020-03-27 19:09:07+00:00,09L
22,BAW48Q,2020-03-27 11:18:31+00:00,09L
23,BAW42,2020-03-27 07:28:02+00:00,09L
24,BAW8C,2020-03-27 13:52:44+00:00,09L
25,BAW45B,2020-03-27 05:34:26+00:00,09R
26,BAW176A,2020-03-27 06:43:21+00:00,09L
27,BAW9602,2020-03-27 06:11:41+00:00,09L
28,BAW18A,2020-03-27 08:44:37+00:00,09L
29,SHT64U,2020-03-27 17:45:59+00:00,09R
30,BAW939,2020-03-27 12:27:47+00:00,09L
31,BAW955L,2020-03-27 18:25:58+00:00,09L
32,BAW3ZL,2020-03-27 13:20:28+00:00,09L
33,VIR148,2020-03-27 06:47:36+00:00,09L
34,SHT88C,2020-03-27 15:59:49+00:00,09R
35,BAW83D,2020-03-27 20:11:11+00:00,09L
36,BAW905U,2020-03-27 15:37:52+00:00,09L
37,BAW767V,2020-03-27 18:03:15+00:00,09R
38,BAW965,2020-03-27 10:28:27+00:00,09L
39,BAW45EM,2020-03-27 13:29:29+00:00,09L
40,SHT19BT,2020-03-27 20:57:10+00:00,09R
41,BAW491U,2020-03-27 18:32:01+00:00,09L
42,BAW9275,2020-03-27 15:40:48+00:00,09R
43,BAW232C,2020-03-27 17:08:19+00:00,09R
44,BAW471,2020-03-27 20:13:15+00:00,09L
45,SHT19M,2020-03-27 11:39:11+00:00,09L
46,BAW21LX,2020-03-27 15:36:33+00:00,09L
47,BAW10,2020-03-27 17:41:38+00:00,09R
48,BAW16,2020-03-27 06:14:20+00:00,09L
49,BAW461,2020-03-27 18:37:52+00:00,09L
50,BAW16D,2020-03-27 08:31:47+00:00,09L
51,BAW246,2020-03-27 06:17:01+00:00,09R
