,callsign,stop,ILS_max
0,MSR777,2021-05-08 12:15:46+00:00,27R
1,ETH700,2021-05-08 15:34:32+00:00,27R
2,KQA2100,2021-05-08 15:26:46+00:00,27R
3,QTR648A,2021-05-08 19:39:33+00:00,27R
4,QTR793M,2021-05-08 06:03:40+00:00,09L
5,QTR525M,2021-05-08 14:20:20+00:00,27R
6,QTR2GP,2021-05-08 12:05:00+00:00,27R
7,QTR09L,2021-05-08 05:58:54+00:00,09L
8,QTR447G,2021-05-08 13:21:37+00:00,27R
9,QTR42BC,2021-05-08 14:12:27+00:00,27R
10,QTR8866,2021-05-08 10:50:51+00:00,27R
11,IBE3166,2021-05-08 15:52:34+00:00,27R
12,IBE31PL,2021-05-08 07:44:52+00:00,09L
13,AFR15AZ,2021-05-08 19:58:57+00:00,27R
14,AFR38MM,2021-05-08 09:14:21+00:00,27R
15,BCS13G,2021-05-08 19:52:12+00:00,27R
16,BCS6740,2021-05-08 13:46:23+00:00,27R
17,BCS6731,2021-05-08 15:31:29+00:00,27R
18,BCS6768,2021-05-08 06:12:11+00:00,09L
19,BCS6778,2021-05-08 20:52:17+00:00,27R
20,DLH908,2021-05-08 13:28:01+00:00,27R
21,DLH5XL,2021-05-08 21:12:19+00:00,27R
22,DLH900,2021-05-08 08:07:49+00:00,09L
23,BAW82,2021-05-08 13:10:24+00:00,27R
24,BAW18A,2021-05-08 07:59:53+00:00,09L
25,BAW9170,2021-05-08 11:47:08+00:00,27R
26,BAW054,2021-05-08 06:37:06+00:00,09L
27,BAW112,2021-05-08 05:11:53+00:00,09L
28,BAW6B,2021-05-08 12:32:28+00:00,27R
29,SHT64U,2021-05-08 11:43:56+00:00,27R
30,SHT88C,2021-05-08 17:09:26+00:00,27R
31,SHT7H,2021-05-08 14:26:44+00:00,27R
32,SHT90P,2021-05-08 08:26:29+00:00,09L
33,SHT19M,2021-05-08 11:16:24+00:00,27R
34,BAW9271,2021-05-08 10:43:50+00:00,27R
35,SHT9J,2021-05-08 14:02:28+00:00,27R
36,BAW509,2021-05-08 17:22:47+00:00,27R
37,BAW78,2021-05-08 04:25:57+00:00,09L
38,BAW9155,2021-05-08 06:01:50+00:00,09L
39,VIR510,2021-05-08 11:54:25+00:00,27R
40,VIR688,2021-05-08 08:04:20+00:00,09L
41,BAW168,2021-05-08 16:19:09+00:00,27R
42,VIR412W,2021-05-08 14:59:03+00:00,27R
43,BAW66,2021-05-08 05:09:21+00:00,09L
44,BAW74,2021-05-08 04:33:19+00:00,09L
45,BAW32,2021-05-08 17:20:04+00:00,27R
46,BAW347,2021-05-08 13:43:38+00:00,27R
47,BAW3598,2021-05-08 07:02:37+00:00,09L
48,BAW138,2021-05-08 06:27:33+00:00,09L
49,BAW81V,2021-05-08 05:47:01+00:00,09L
50,BAW98,2021-05-08 08:09:47+00:00,09L
51,BAW713,2021-05-08 13:06:28+00:00,27R
52,VIR602,2021-05-08 05:36:16+00:00,09L
53,VIR686Q,2021-05-08 18:39:24+00:00,27R
54,VIR104L,2021-05-08 09:38:46+00:00,27R
55,BAW34,2021-05-08 05:38:03+00:00,09L
56,BAW48Q,2021-05-08 11:19:46+00:00,27R
57,VIR540,2021-05-08 09:28:40+00:00,27R
58,CLU5292,2021-05-08 15:49:11+00:00,27R
59,BAW268,2021-05-08 14:40:23+00:00,27R
60,BAW3593,2021-05-08 09:58:02+00:00,27R
61,BAW296,2021-05-08 09:25:09+00:00,27R
62,BAW242,2021-05-08 13:37:35+00:00,27R
63,BAW80G,2021-05-08 07:18:38+00:00,09L
64,BAW919,2021-05-08 11:12:48+00:00,27R
65,BAW6,2021-05-08 15:57:55+00:00,27R
66,VIR239,2021-05-08 19:15:34+00:00,27R
67,VIR502,2021-05-08 15:36:54+00:00,27R
68,BAW3C,2021-05-08 09:09:44+00:00,27R
69,BAW164,2021-05-08 18:22:06+00:00,27R
70,BAW815,2021-05-08 13:35:40+00:00,27R
71,BAW900A,2021-05-08 20:41:10+00:00,27R
72,BAW491U,2021-05-08 17:33:29+00:00,27R
73,SHT13H,2021-05-08 10:29:24+00:00,27R
74,BAW729,2021-05-08 12:29:22+00:00,27R
75,VIR4C,2021-05-08 05:21:52+00:00,09L
76,BAW503,2021-05-08 20:07:49+00:00,27R
77,SHT7J,2021-05-08 06:42:57+00:00,09L
78,SHT9B,2021-05-08 11:29:22+00:00,27R
79,SHT7C,2021-05-08 11:09:32+00:00,27R
80,BAW34N,2021-05-08 08:38:48+00:00,09L
81,BAW294,2021-05-08 05:40:27+00:00,09L
82,VIR506,2021-05-08 18:06:03+00:00,27R
83,VIR24M,2021-05-08 13:13:49+00:00,27R
84,BAW2649,2021-05-08 20:29:22+00:00,27R
85,BAW92W,2021-05-08 09:41:43+00:00,27R
86,BAW226,2021-05-08 06:14:06+00:00,09L
87,BAW917,2021-05-08 13:01:53+00:00,27R
88,SHT19N,2021-05-08 07:16:01+00:00,09L
89,BAW28,2021-05-08 18:24:08+00:00,27R
90,BAW12,2021-05-08 05:05:29+00:00,09L
91,BAW116,2021-05-08 06:19:27+00:00,09L
92,AFL2578,2021-05-08 10:58:25+00:00,27R
93,AZV2053,2021-05-08 17:05:01+00:00,27R
94,AFL2582,2021-05-08 14:34:04+00:00,27R
95,AUA4CE,2021-05-08 07:05:11+00:00,09L
96,FIN3ML,2021-05-08 08:21:12+00:00,09L
97,FIN7WG,2021-05-08 15:55:56+00:00,27R
98,AEE6AV,2021-05-08 10:05:23+00:00,27R
99,KLM1009,2021-05-08 09:21:42+00:00,27R
100,KLM57A,2021-05-08 15:04:20+00:00,27R
101,LOT2HR,2021-05-08 08:09:27+00:00,09L
102,TAP135M,2021-05-08 16:21:27+00:00,27R
103,ROT391Z,2021-05-08 12:40:12+00:00,27R
104,BLA7TM,2021-05-08 07:31:11+00:00,09L
105,SWR46V,2021-05-08 12:19:28+00:00,27R
106,SWR31J,2021-05-08 06:55:03+00:00,09L
107,SWR332,2021-05-08 11:58:19+00:00,27R
108,THY9NX,2021-05-08 08:35:58+00:00,09L
109,THY6193,2021-05-08 09:31:49+00:00,27R
110,THY6229,2021-05-08 10:54:40+00:00,27R
111,THY3UM,2021-05-08 14:51:17+00:00,27R
112,THY8EL,2021-05-08 19:35:37+00:00,27R
113,EIN712,2021-05-08 11:50:56+00:00,27R
114,AZA250,2021-05-08 16:47:24+00:00,27R
115,EIN9RV,2021-05-08 07:32:55+00:00,09L
116,AZA75KC,2021-05-08 09:51:32+00:00,27R
117,EIN154,2021-05-08 07:34:57+00:00,09L
118,AZA206,2021-05-08 14:44:11+00:00,27R
119,AUI117,2021-05-08 10:22:44+00:00,27R
120,SVA117,2021-05-08 16:38:05+00:00,27R
121,SVA115,2021-05-08 14:16:08+00:00,27R
122,KAL503,2021-05-08 16:43:08+00:00,27R
123,MAS4,2021-05-08 15:46:01+00:00,27R
124,SIA7394,2021-05-08 18:09:44+00:00,27R
125,SIA308,2021-05-08 14:30:48+00:00,27R
126,SIA322,2021-05-08 04:58:17+00:00,09L
127,ALK503,2021-05-08 05:53:14+00:00,09L
128,CCA575,2021-05-08 09:06:20+00:00,27R
129,CES7191,2021-05-08 08:57:37+00:00,27R
130,CCA611,2021-05-08 07:00:34+00:00,09L
131,CCA645,2021-05-08 07:38:52+00:00,09L
132,CXA8711,2021-05-08 13:17:08+00:00,27R
133,CCA579,2021-05-08 08:29:25+00:00,09L
134,AIC131,2021-05-08 10:33:25+00:00,27R
135,VTI017,2021-05-08 17:57:51+00:00,27R
136,ANA211,2021-05-08 14:37:14+00:00,27R
137,JAL43,2021-05-08 14:05:22+00:00,27R
138,THA910,2021-05-08 15:40:46+00:00,27R
139,GFA007,2021-05-08 06:05:33+00:00,09L
140,RBA3,2021-05-08 14:47:31+00:00,27R
141,UAE9943,2021-05-08 14:09:08+00:00,27R
142,UAE1,2021-05-08 11:23:33+00:00,27R
143,UAE3,2021-05-08 19:21:57+00:00,27R
144,ETD57X,2021-05-08 17:52:35+00:00,27R
145,ETD89G,2021-05-08 06:09:59+00:00,09L
146,ETD59V,2021-05-08 12:23:04+00:00,27R
147,UAL14,2021-05-08 05:42:20+00:00,09L
148,UAL2788,2021-05-08 07:41:28+00:00,09L
149,UAL931,2021-05-08 06:24:04+00:00,09L
150,UAL918,2021-05-08 05:31:45+00:00,09L
151,AAL100,2021-05-08 05:07:18+00:00,09L
152,AAL50,2021-05-08 05:03:20+00:00,09L
153,AAL134,2021-05-08 11:35:45+00:00,27R
154,AAL38,2021-05-08 06:39:40+00:00,09L
155,AAL728,2021-05-08 08:32:05+00:00,09L
156,AAL730,2021-05-08 05:55:45+00:00,09L
157,AAL9817,2021-05-08 11:32:49+00:00,27R
158,DAL32,2021-05-08 05:44:46+00:00,09L
159,DAL1,2021-05-08 06:47:28+00:00,09L
160,AAL86,2021-05-08 05:14:50+00:00,09L
161,ACA856,2021-05-08 07:07:21+00:00,09L
162,ACA7202,2021-05-08 09:35:21+00:00,27R
