,callsign,stop,ILS_max
0,ETH700,2020-03-26 06:16:01+00:00,09L
1,QTR1VU,2020-03-26 11:31:56+00:00,09R
2,QTR5DR,2020-03-26 06:02:24+00:00,09L
3,QTR4LA,2020-03-26 12:45:54+00:00,09R
4,QTR5CF,2020-03-26 19:40:47+00:00,09R
5,AMX007,2020-03-26 15:49:08+00:00,09L
6,IBE3170,2020-03-26 09:13:05+00:00,09L
7,IBE3172,2020-03-26 16:49:07+00:00,09L
8,AFR64ZU,2020-03-26 13:34:09+00:00,09R
9,BCS6773,2020-03-26 20:26:36+00:00,09R
10,BCS6757,2020-03-26 20:14:13+00:00,09R
11,BCS6718,2020-03-26 09:28:05+00:00,09R
12,EWG6GC,2020-03-26 11:24:42+00:00,09L
13,DLH3KW,2020-03-26 14:28:13+00:00,09L
14,DLH900,2020-03-26 08:05:36+00:00,09L
15,BCS985,2020-03-26 15:33:19+00:00,09R
16,BAW8C,2020-03-26 14:13:34+00:00,09L
17,BAW42,2020-03-26 07:00:57+00:00,09L
18,BAW58L,2020-03-26 04:42:14+00:00,09R
19,BAW32N,2020-03-26 06:24:29+00:00,09L
20,BAW178,2020-03-26 19:35:15+00:00,09L
21,BAW176A,2020-03-26 06:35:02+00:00,09L
22,BAW45B,2020-03-26 06:07:23+00:00,09L
23,BAW20R,2020-03-26 06:22:27+00:00,09L
24,BAW10,2020-03-26 17:42:01+00:00,09L
25,BAW48Q,2020-03-26 11:09:19+00:00,09L
26,BAW9115,2020-03-26 09:31:35+00:00,09L
27,BAW40YL,2020-03-26 18:30:20+00:00,09L
28,BAW753,2020-03-26 11:38:22+00:00,09L
29,BAW781C,2020-03-26 19:03:26+00:00,09L
30,BAW309,2020-03-26 11:39:51+00:00,09L
31,SHT21V,2020-03-26 11:41:16+00:00,09L
32,SHT64U,2020-03-26 18:01:04+00:00,09L
33,SHT19A,2020-03-26 15:42:03+00:00,09L
34,BAW911U,2020-03-26 19:01:30+00:00,09L
35,BAW845D,2020-03-26 11:35:17+00:00,09L
36,SHT88C,2020-03-26 16:06:14+00:00,09L
37,BAW12DT,2020-03-26 18:42:10+00:00,09R
38,BAW16MT,2020-03-26 11:47:09+00:00,09R
39,BAW481B,2020-03-26 18:35:19+00:00,09L
40,BAW475,2020-03-26 15:15:07+00:00,09L
41,BAW461,2020-03-26 18:40:23+00:00,09L
42,BAW232,2020-03-26 17:10:36+00:00,09L
43,BAW246,2020-03-26 06:20:07+00:00,09L
44,BAW501,2020-03-26 13:14:09+00:00,09R
45,BAW97DV,2020-03-26 19:37:50+00:00,09L
46,BAW817,2020-03-26 15:26:22+00:00,09L
47,SHT3P,2020-03-26 09:44:29+00:00,09R
48,BAW6B,2020-03-26 14:17:36+00:00,09L
49,BAW64M,2020-03-26 05:12:46+00:00,09R
50,BAW895,2020-03-26 15:39:21+00:00,09L
51,BAW859P,2020-03-26 14:58:52+00:00,09L
52,BAW729,2020-03-26 13:38:27+00:00,09L
53,SHT3V,2020-03-26 17:50:43+00:00,09L
54,BAW12,2020-03-26 04:46:52+00:00,09R
55,BAW8,2020-03-26 13:25:28+00:00,09L
56,SHT7H,2020-03-26 13:54:38+00:00,09R
57,SHT7R,2020-03-26 08:45:55+00:00,09L
58,BAW379,2020-03-26 18:04:12+00:00,09L
59,SHT7C,2020-03-26 10:55:59+00:00,09L
60,BAW20,2020-03-26 14:20:14+00:00,09L
61,BAW479,2020-03-26 12:41:07+00:00,09L
62,BAW28,2020-03-26 04:38:46+00:00,09R
63,BAW955L,2020-03-26 18:11:43+00:00,09L
64,BAW91BG,2020-03-26 19:16:42+00:00,09L
65,VIR207,2020-03-26 04:33:13+00:00,09R
66,VIR699,2020-03-26 08:12:19+00:00,09L
67,BAW242,2020-03-26 12:47:51+00:00,09L
68,BAW62,2020-03-26 16:01:03+00:00,09L
69,VIR24M,2020-03-26 12:20:19+00:00,09L
70,BAW56,2020-03-26 05:45:36+00:00,09R
71,BAW268,2020-03-26 15:20:51+00:00,09L
72,VIR450,2020-03-26 06:13:51+00:00,09L
73,BAW226,2020-03-26 09:25:20+00:00,09L
74,BAW6,2020-03-26 15:44:41+00:00,09L
75,BAW3C,2020-03-26 10:02:29+00:00,09L
76,BAW250,2020-03-26 08:59:00+00:00,09L
77,VIR104L,2020-03-26 06:26:46+00:00,09L
78,BAW94,2020-03-26 07:55:31+00:00,09L
79,BAW491U,2020-03-26 18:57:43+00:00,09R
80,BAW248,2020-03-26 11:43:22+00:00,09L
81,BAW403,2020-03-26 16:36:37+00:00,09L
82,BAW9255,2020-03-26 21:23:01+00:00,09R
83,SHT9Z,2020-03-26 11:14:11+00:00,09L
84,BAW343E,2020-03-26 13:01:27+00:00,09L
85,SHT13K,2020-03-26 17:45:04+00:00,09L
86,SHT3G,2020-03-26 07:21:22+00:00,09L
87,BAW3HK,2020-03-26 19:43:53+00:00,09L
88,BAW431,2020-03-26 11:33:45+00:00,09L
89,BAW87AM,2020-03-26 20:19:32+00:00,09L
90,VIR4C,2020-03-26 06:03:42+00:00,09R
91,VIR46K,2020-03-26 07:18:36+00:00,09L
92,BAW767V,2020-03-26 17:49:02+00:00,09L
93,BAW9257,2020-03-26 23:43:28+00:00,09R
94,SHT9U,2020-03-26 07:59:44+00:00,09L
95,BAW94HG,2020-03-26 18:59:50+00:00,09L
96,VIR688,2020-03-26 07:06:08+00:00,09L
97,BAW463,2020-03-26 20:54:31+00:00,09L
98,SHT3F,2020-03-26 13:16:51+00:00,09L
99,BAW96VC,2020-03-26 15:01:04+00:00,09L
100,SHT9Y,2020-03-26 20:02:07+00:00,09L
101,BAW9256,2020-03-26 22:32:44+00:00,09R
102,BAW1DL,2020-03-26 16:04:07+00:00,09L
103,BAW711,2020-03-26 11:11:41+00:00,09L
104,BAW41HA,2020-03-26 19:29:36+00:00,09L
105,SHT13C,2020-03-26 07:49:15+00:00,09L
106,BAW5CA,2020-03-26 06:09:40+00:00,09L
107,BAW793,2020-03-26 18:46:53+00:00,09L
108,BAW991,2020-03-26 11:36:51+00:00,09L
109,BAW633,2020-03-26 20:12:16+00:00,09L
110,AFL2582,2020-03-26 14:56:16+00:00,09R
111,AFL2584,2020-03-26 21:11:18+00:00,09R
112,AFL2580,2020-03-26 08:16:17+00:00,09R
113,AFL2578,2020-03-26 11:04:28+00:00,09R
114,FIN7WG,2020-03-26 16:42:50+00:00,09L
115,FIN3ML,2020-03-26 08:20:28+00:00,09L
116,KLM1033,2020-03-26 20:28:29+00:00,09R
117,KLM1007,2020-03-26 08:29:51+00:00,09R
118,KLM93K,2020-03-26 16:32:11+00:00,09R
119,LOT8701,2020-03-26 17:47:14+00:00,09R
120,LOT8603,2020-03-26 08:42:16+00:00,09L
121,LOT8601,2020-03-26 16:51:25+00:00,09L
122,LOT8703,2020-03-26 10:45:25+00:00,09R
123,SAS531,2020-03-26 12:22:42+00:00,09L
124,SWR36A,2020-03-26 17:58:51+00:00,09R
125,SWR49M,2020-03-26 07:50:56+00:00,09L
126,THY6139,2020-03-26 08:01:03+00:00,09L
127,ASL4380,2020-03-26 12:30:50+00:00,09R
128,EIN158,2020-03-26 10:48:08+00:00,09R
129,EIN168E,2020-03-26 14:49:56+00:00,09L
130,EIN17J,2020-03-26 19:12:03+00:00,09L
