,callsign,stop,ILS_max
0,MSR777,2020-05-13 08:46:43+00:00,09R
1,ETH700,2020-05-13 06:54:42+00:00,09R
2,QTR8856,2020-05-13 07:41:02+00:00,09R
3,QTR009,2020-05-13 06:06:23+00:00,09R
4,QTR3EM,2020-05-13 12:03:35+00:00,09R
5,QTR8866,2020-05-13 20:25:29+00:00,09R
6,QTR8328,2020-05-13 11:48:28+00:00,09R
7,IBE31GB,2020-05-13 16:50:08+00:00,09R
8,BCS6788,2020-05-13 13:05:29+00:00,09R
9,BCS13G,2020-05-13 07:44:07+00:00,09R
10,BCS35P,2020-05-13 19:24:58+00:00,09R
11,BCS6773,2020-05-13 19:49:11+00:00,09R
12,DLH5AF,2020-05-13 07:22:57+00:00,09R
13,DLH8HR,2020-05-13 13:19:29+00:00,09R
14,BAW9117,2020-05-13 19:58:11+00:00,09R
15,BAW172,2020-05-13 06:46:06+00:00,09R
16,BAW9115,2020-05-13 18:29:23+00:00,09R
17,BAW14K,2020-05-13 06:04:11+00:00,09R
18,BAW296,2020-05-13 09:29:50+00:00,09R
19,BAW431,2020-05-13 10:47:38+00:00,09R
20,BAW28,2020-05-13 03:35:48+00:00,27L
21,BAW56,2020-05-13 17:55:21+00:00,09R
22,BAW168,2020-05-13 15:32:05+00:00,09R
23,BAW88,2020-05-13 13:50:49+00:00,09R
24,BAW18,2020-05-13 13:02:27+00:00,09R
25,BAW192,2020-05-13 10:40:47+00:00,09R
26,BAW32,2020-05-13 03:33:06+00:00,27L
27,BAW160,2020-05-13 17:53:04+00:00,09R
28,VIR606N,2020-05-13 05:05:52+00:00,09R
29,BAW98,2020-05-13 08:31:20+00:00,09R
30,BAW282,2020-05-13 09:05:48+00:00,09R
31,VIR251,2020-05-13 14:42:53+00:00,09R
32,VIR207,2020-05-13 03:38:38+00:00,27L
33,BAW9129,2020-05-13 10:06:32+00:00,09R
34,BAW208,2020-05-13 08:21:59+00:00,09R
35,BAW677,2020-05-13 20:27:48+00:00,09R
36,BAW20R,2020-05-13 07:17:35+00:00,09R
37,BAW226,2020-05-13 08:57:51+00:00,09R
38,VIR604L,2020-05-13 07:00:09+00:00,09R
39,BAW479,2020-05-13 11:45:49+00:00,09R
40,BAW284,2020-05-13 09:12:34+00:00,09R
41,BAW45B,2020-05-13 05:09:22+00:00,09R
42,BAW6W,2020-05-13 05:11:29+00:00,09R
43,BAW309,2020-05-13 11:09:29+00:00,09R
44,BAW493U,2020-05-13 17:50:13+00:00,09R
45,VIR682,2020-05-13 14:32:06+00:00,09R
46,VIR688,2020-05-13 06:08:14+00:00,09R
47,VIR686Q,2020-05-13 07:53:32+00:00,09R
48,SHT9B,2020-05-13 11:43:50+00:00,09R
49,BAW164,2020-05-13 18:32:33+00:00,09R
50,NWS9440,2020-05-13 12:25:45+00:00,09R
51,AFL2582,2020-05-13 05:07:47+00:00,09R
52,SHE57H,2020-05-13 09:40:45+00:00,09R
53,SHE49D,2020-05-13 06:12:30+00:00,09R
54,LZB851,2020-05-13 15:29:09+00:00,09R
55,FIN7WG,2020-05-13 15:54:25+00:00,09R
56,FIN3ML,2020-05-13 07:50:54+00:00,09R
57,KLM1007,2020-05-13 08:34:21+00:00,09R
58,SWR46V,2020-05-13 12:28:55+00:00,09R
59,THY6139,2020-05-13 08:41:10+00:00,09R
60,THY6133,2020-05-13 15:22:10+00:00,09R
61,EIN7EG,2020-05-13 15:47:37+00:00,09R
62,EIN9RV,2020-05-13 08:28:22+00:00,09R
63,AZA202,2020-05-13 09:34:21+00:00,09R
64,AZA97U,2020-05-13 14:29:09+00:00,09R
65,AZA20Y,2020-05-13 17:25:29+00:00,09R
66,EIN154,2020-05-13 07:06:06+00:00,09R
67,EIN17J,2020-05-13 17:59:55+00:00,09R
68,ICE450,2020-05-13 11:28:50+00:00,09R
69,KAL907,2020-05-13 16:20:35+00:00,09R
70,KAL8503,2020-05-13 12:06:44+00:00,09R
71,ELY215,2020-05-13 08:08:11+00:00,09R
72,ISR997,2020-05-13 19:17:53+00:00,09R
73,PIA757,2020-05-13 14:13:43+00:00,09R
74,SIA322,2020-05-13 04:54:28+00:00,09R
75,CES551,2020-05-13 17:27:23+00:00,09R
76,CCA937,2020-05-13 16:44:15+00:00,09R
77,CCA787,2020-05-13 11:54:59+00:00,09R
78,CSN303,2020-05-13 13:36:52+00:00,09R
