,callsign,stop,ILS_max
0,MSR777,2020-05-01 12:19:32+00:00,27L
1,ETH700,2020-05-01 05:21:58+00:00,27L
2,KQA2100,2020-05-01 13:52:59+00:00,27L
3,QTR8856,2020-05-01 08:08:25+00:00,27L
4,QTR7453,2020-05-01 06:12:23+00:00,27L
5,QTR7451,2020-05-01 05:25:16+00:00,27L
6,QTR3EM,2020-05-01 12:12:47+00:00,27L
7,QTR8190,2020-05-01 16:33:04+00:00,27L
8,QTR8866,2020-05-01 20:00:59+00:00,27L
9,QTR8328,2020-05-01 11:28:14+00:00,27L
10,RWD700,2020-05-01 09:01:08+00:00,27L
11,AZA20Y,2020-05-01 17:44:52+00:00,27L
12,AFR17YG,2020-05-01 12:49:19+00:00,27L
13,BCS6757,2020-05-01 21:14:45+00:00,27L
14,EWG6VP,2020-05-01 12:32:28+00:00,27L
15,DLH8HR,2020-05-01 13:16:13+00:00,27L
16,BAW9156,2020-05-01 21:38:18+00:00,27L
17,BAW172,2020-05-01 08:11:29+00:00,27L
18,BAW9112,2020-05-01 20:21:17+00:00,27L
19,BAW20R,2020-05-01 05:32:12+00:00,27L
20,BAW14K,2020-05-01 06:49:31+00:00,27L
21,BAW2062,2020-05-01 19:02:24+00:00,27L
22,BAW309,2020-05-01 10:53:39+00:00,27L
23,BAW9270,2020-05-01 14:14:44+00:00,27L
24,BAW56,2020-05-01 17:41:42+00:00,27L
25,BAW88,2020-05-01 13:33:18+00:00,27L
26,BAW168,2020-05-01 14:35:58+00:00,27L
27,BAW160,2020-05-01 18:04:37+00:00,27L
28,BAW284,2020-05-01 09:32:31+00:00,27L
29,BAW98,2020-05-01 08:14:16+00:00,27L
30,BAW28,2020-05-01 04:27:43+00:00,27L
31,VIR207,2020-05-01 04:03:47+00:00,27L
32,BAW3C,2020-05-01 09:04:19+00:00,27L
33,BAW208,2020-05-01 08:57:58+00:00,27L
34,BAW45B,2020-05-01 05:28:24+00:00,27L
35,BAW282,2020-05-01 10:24:36+00:00,27L
36,BAW18,2020-05-01 12:46:50+00:00,27L
37,VIR251,2020-05-01 15:00:17+00:00,27L
38,BAW491U,2020-05-01 18:00:05+00:00,27L
39,BAW431,2020-05-01 10:34:27+00:00,27L
40,BAW226,2020-05-01 09:34:59+00:00,27L
41,BAW479,2020-05-01 11:37:47+00:00,27L
42,SHT19M,2020-05-01 11:31:15+00:00,27L
43,VIR688,2020-05-01 07:05:56+00:00,27L
44,BAW983,2020-05-01 12:10:21+00:00,27L
45,VIR686Q,2020-05-01 08:19:22+00:00,27L
46,VIR682,2020-05-01 14:00:35+00:00,27L
47,BAW347,2020-05-01 13:37:34+00:00,27L
48,BAW501,2020-05-01 12:22:57+00:00,27L
49,BAW164,2020-05-01 18:11:57+00:00,27L
50,SHT7Z,2020-05-01 12:28:44+00:00,27L
51,SHT9B,2020-05-01 11:22:41+00:00,27L
52,LZB851,2020-05-01 15:18:29+00:00,27L
53,FIN7WG,2020-05-01 15:59:41+00:00,27L
54,FIN3ML,2020-05-01 07:45:35+00:00,27L
55,AEE4910,2020-05-01 12:16:21+00:00,27L
56,KLM1007,2020-05-01 08:04:54+00:00,27L
57,SWR46V,2020-05-01 12:26:03+00:00,27L
58,THY6133,2020-05-01 15:03:29+00:00,27L
59,THY6139,2020-05-01 08:22:09+00:00,27L
60,EIN7EG,2020-05-01 15:51:14+00:00,27L
61,AZA202,2020-05-01 09:41:45+00:00,27L
62,EIN9RV,2020-05-01 08:46:39+00:00,27L
63,AZA97U,2020-05-01 14:38:43+00:00,27L
64,EIN16Y,2020-05-01 13:43:40+00:00,27L
65,EIN154,2020-05-01 07:09:06+00:00,27L
66,EIN17J,2020-05-01 17:49:25+00:00,27L
67,ICE450,2020-05-01 11:34:38+00:00,27L
68,AMC4100,2020-05-01 11:07:28+00:00,27L
69,SVA113,2020-05-01 15:10:21+00:00,27L
70,ISR997,2020-05-01 18:38:46+00:00,27L
71,PIA785,2020-05-01 15:06:57+00:00,27L
72,PIA8757,2020-05-01 10:59:56+00:00,27L
73,SIA322,2020-05-01 04:56:48+00:00,27L
74,ALK503,2020-05-01 06:46:23+00:00,27L
75,CCA937,2020-05-01 16:42:45+00:00,27L
76,CPA239,2020-05-01 16:29:35+00:00,27L
77,CCA577,2020-05-01 14:22:19+00:00,27L
78,CCA855,2020-05-01 18:56:38+00:00,27L
79,CCA787A,2020-05-01 10:11:55+00:00,27L
80,CCA639,2020-05-01 17:36:23+00:00,27L
81,CPA253,2020-05-01 18:34:12+00:00,27L
82,GCR7949,2020-05-01 06:30:35+00:00,27L
83,CCA849,2020-05-01 08:49:59+00:00,27L
84,CBJ431,2020-05-01 19:11:31+00:00,27L
85,CPA257,2020-05-01 13:20:59+00:00,27L
86,CPA255,2020-05-01 05:04:33+00:00,27L
87,JAL43,2020-05-01 14:17:52+00:00,27L
88,HVN55,2020-05-01 09:30:18+00:00,27L
89,UAE3,2020-05-01 11:16:17+00:00,27L
90,UAE31,2020-05-01 10:21:50+00:00,27L
91,UAE29,2020-05-01 12:59:55+00:00,27L
92,ETD59V,2020-05-01 10:27:38+00:00,27L
93,EVA067,2020-05-01 17:56:53+00:00,27L
94,UAL16,2020-05-01 06:08:13+00:00,27L
95,UAL2790,2020-05-01 07:26:31+00:00,27L
96,UAL2787,2020-05-01 07:42:24+00:00,27L
97,UAL2800,2020-05-01 12:35:28+00:00,27L
98,AAL50,2020-05-01 05:17:21+00:00,27L
99,AAL38,2020-05-01 07:50:53+00:00,27L
100,ACA848,2020-05-01 07:02:25+00:00,27L
