,callsign,stop,ILS_max
0,FEG3423,2019-05-03 18:04:57+00:00,14
1,RAM936R,2019-05-03 16:07:00+00:00,14
2,QTR095,2019-05-03 12:15:52+00:00,14
3,QTR093,2019-05-03 05:07:55+00:00,14
4,IBE3476,2019-05-03 19:59:03+00:00,28
5,VLG21QR,2019-05-03 14:10:15+00:00,14
6,AEA1671,2019-05-03 15:11:46+00:00,14
7,AEA76TU,2019-05-03 08:23:30+00:00,14
8,VLG6246,2019-05-03 06:48:50+00:00,14
9,IBE34AY,2019-05-03 15:39:12+00:00,14
10,IBE3464,2019-05-03 09:18:04+00:00,14
11,VLG306Z,2019-05-03 17:39:10+00:00,14
12,AFR61GR,2019-05-03 12:05:14+00:00,14
13,AFR141G,2019-05-03 20:32:44+00:00,28
14,AFR28NJ,2019-05-03 06:38:39+00:00,14
15,AFR35RX,2019-05-03 15:32:14+00:00,14
16,AHO789A,2019-05-03 18:12:17+00:00,14
17,EWG1UR,2019-05-03 17:18:17+00:00,14
18,EWG15Z,2019-05-03 13:38:18+00:00,14
19,EWG4FU,2019-05-03 16:05:13+00:00,14
20,DLH8AC,2019-05-03 10:45:26+00:00,14
21,DLH6HW,2019-05-03 06:30:55+00:00,14
22,DLH5TV,2019-05-03 06:40:27+00:00,14
23,DLH8NJ,2019-05-03 11:54:04+00:00,14
24,DLH9KA,2019-05-03 16:02:16+00:00,14
25,EWG30L,2019-05-03 11:34:45+00:00,14
26,EWG2T,2019-05-03 06:08:43+00:00,14
27,EWG18A,2019-05-03 05:55:37+00:00,14
28,EWG7ME,2019-05-03 17:46:10+00:00,14
29,EWG7NM,2019-05-03 17:36:33+00:00,14
30,EWG9776,2019-05-03 13:09:48+00:00,14
31,DLH4YX,2019-05-03 08:28:39+00:00,14
32,DLH5AC,2019-05-03 05:39:21+00:00,14
33,DLH9VX,2019-05-03 17:14:59+00:00,14
34,EWG56L,2019-05-03 10:07:14+00:00,14
35,EWG764,2019-05-03 06:13:01+00:00,14
36,SCR762,2019-05-03 07:19:47+00:00,14
37,DIGRO,2019-05-03 15:15:47+00:00,14
38,DIGRO,2019-05-03 18:51:43+00:00,14
39,BAW718,2019-05-03 16:41:54+00:00,14
40,BAW720T,2019-05-03 20:22:12+00:00,28
41,BAW712T,2019-05-03 10:05:59+00:00,14
42,BAW714T,2019-05-03 12:45:55+00:00,14
43,EZY72KT,2019-05-03 07:29:11+00:00,14
44,EZY36RG,2019-05-03 18:54:00+00:00,14
45,CAW14R,2019-05-03 15:26:58+00:00,14
46,EZY19QZ,2019-05-03 18:55:30+00:00,14
47,EZY12VV,2019-05-03 14:41:54+00:00,14
48,VCG2LB,2019-05-03 13:35:20+00:00,14
49,CFE54K,2019-05-03 13:02:38+00:00,14
50,BAW710,2019-05-03 07:15:12+00:00,14
51,AFL2390,2019-05-03 10:26:21+00:00,14
52,VPCES,2019-05-03 18:44:29+00:00,14
53,AFL2392,2019-05-03 19:03:34+00:00,28
54,AUA551,2019-05-03 08:01:01+00:00,14
55,AUA553,2019-05-03 15:49:37+00:00,14
56,AUA569,2019-05-03 12:28:28+00:00,14
57,EJU97NA,2019-05-03 07:47:53+00:00,14
58,AUA561,2019-05-03 06:41:58+00:00,14
59,OEGKE,2019-05-03 16:49:57+00:00,14
60,EJU43JM,2019-05-03 17:44:35+00:00,14
61,EJU97BT,2019-05-03 10:31:24+00:00,14
62,EJU5867,2019-05-03 13:47:16+00:00,14
63,AUA563,2019-05-03 15:02:08+00:00,14
64,AUA5ET,2019-05-03 20:35:05+00:00,28
65,EJU76NB,2019-05-03 07:04:54+00:00,14
66,AUA565R,2019-05-03 17:08:14+00:00,14
67,EJU23YL,2019-05-03 06:03:50+00:00,14
68,LZB491,2019-05-03 11:55:46+00:00,14
69,SAS601,2019-05-03 07:37:41+00:00,14
70,FIN6AP,2019-05-03 07:42:17+00:00,14
71,FIN5DL,2019-05-03 16:19:40+00:00,14
72,AEE852,2019-05-03 13:58:57+00:00,14
73,SAS1605,2019-05-03 16:32:31+00:00,14
74,KLM1961,2019-05-03 15:08:49+00:00,14
75,KLM1963,2019-05-03 16:24:51+00:00,14
76,KLM47B,2019-05-03 06:37:11+00:00,14
77,KLM57C,2019-05-03 09:06:32+00:00,14
78,ENT531L,2019-05-03 10:03:00+00:00,14
79,LOT411,2019-05-03 07:39:05+00:00,14
80,LOT419,2019-05-03 17:04:31+00:00,14
81,NJE187E,2019-05-03 14:23:31+00:00,14
82,TAP928,2019-05-03 20:51:57+00:00,28
83,TAP926G,2019-05-03 15:25:02+00:00,14
84,TAP932N,2019-05-03 10:30:04+00:00,14
85,SAS609,2019-05-03 17:57:37+00:00,14
86,CAZ401,2019-05-03 07:57:02+00:00,14
87,EDW13E,2019-05-03 14:28:39+00:00,14
88,EDW29G,2019-05-03 20:48:22+00:00,28
89,EDW73N,2019-05-03 12:34:40+00:00,14
90,EDW403,2019-05-03 09:46:36+00:00,14
91,EDW413,2019-05-03 20:37:18+00:00,28
92,EDW431,2019-05-03 15:10:37+00:00,14
93,SWR105L,2019-05-03 08:55:46+00:00,14
94,SWR213D,2019-05-03 15:43:27+00:00,14
95,SWR63J,2019-05-03 20:10:34+00:00,28
96,EDW439,2019-05-03 19:52:16+00:00,28
97,SWR59GW,2019-05-03 14:16:03+00:00,14
98,SWR78A,2019-05-03 09:01:44+00:00,14
99,SWR152C,2019-05-03 08:45:52+00:00,14
100,SWR30K,2019-05-03 14:22:00+00:00,14
101,SWR983,2019-05-03 18:48:48+00:00,14
102,SWR122F,2019-05-03 15:53:34+00:00,14
103,SWR225Z,2019-05-03 09:26:14+00:00,14
104,SWR339,2019-05-03 20:53:47+00:00,28
105,SWR109D,2019-05-03 10:39:56+00:00,14
106,SWR170X,2019-05-03 19:37:30+00:00,28
107,SWR44L,2019-05-03 15:00:47+00:00,14
108,SWR75B,2019-05-03 05:30:58+00:00,14
109,SWR173Q,2019-05-03 14:52:14+00:00,14
110,SWR57PU,2019-05-03 09:57:18+00:00,14
111,SWR70T,2019-05-03 19:19:32+00:00,28
112,SWR963,2019-05-03 05:56:49+00:00,14
113,SWR1059,2019-05-03 18:16:50+00:00,14
114,SWR1487,2019-05-03 13:57:31+00:00,14
115,SWR32V,2019-05-03 09:34:11+00:00,14
116,SWR169M,2019-05-03 15:22:22+00:00,14
