,callsign,stop,ILS_max
0,TAR484,2021-05-08 07:59:07+00:00,14
1,QTR02M,2021-05-08 11:55:26+00:00,14
2,QTR8253,2021-05-08 15:26:57+00:00,14
3,VLG8348,2021-05-08 09:46:41+00:00,14
4,IBE34BZ,2021-05-08 17:53:53+00:00,14
5,AEA21JM,2021-05-08 07:52:00+00:00,14
6,ANE80QY,2021-05-08 08:49:56+00:00,14
7,FHDBL,2021-05-08 14:10:39+00:00,14
8,AHO827V,2021-05-08 14:02:31+00:00,14
9,DLH2RY,2021-05-08 11:47:00+00:00,14
10,DLH4JE,2021-05-08 16:39:50+00:00,14
11,DLH9PL,2021-05-08 10:51:20+00:00,14
12,DLH6EE,2021-05-08 06:48:31+00:00,34
13,AELIA07,2021-05-08 16:48:36+00:00,14
14,SCR021,2021-05-08 17:02:10+00:00,14
15,ATL4U,2021-05-08 11:01:50+00:00,14
16,DIKCG,2021-05-08 14:33:38+00:00,14
17,BAW712,2021-05-08 09:51:25+00:00,14
18,MTHOR,2021-05-08 18:24:59+00:00,28
19,MUNIS,2021-05-08 09:05:51+00:00,14
20,FSE1B,2021-05-08 11:57:58+00:00,14
21,AUA5MJ,2021-05-08 06:52:52+00:00,34
22,TYW758,2021-05-08 04:14:48+00:00,34
23,GAC374U,2021-05-08 17:14:33+00:00,14
24,MMD8013,2021-05-08 19:18:02+00:00,28
25,VKG9141,2021-05-08 09:10:33+00:00,14
26,FIN6AP,2021-05-08 07:16:30+00:00,14
27,AEE5SZ,2021-05-08 08:22:56+00:00,14
28,KLM57C,2021-05-08 08:52:43+00:00,14
29,KLM71Q,2021-05-08 20:10:32+00:00,28
30,LOT411,2021-05-08 07:33:36+00:00,14
31,NJE646T,2021-05-08 10:05:35+00:00,14
32,NJE859U,2021-05-08 14:16:01+00:00,14
33,NJE750G,2021-05-08 13:53:52+00:00,14
34,NJE144B,2021-05-08 07:45:15+00:00,14
35,NJE710B,2021-05-08 13:48:44+00:00,14
36,TAP932,2021-05-08 11:36:03+00:00,14
37,TAP926,2021-05-08 14:55:02+00:00,14
38,SWR78N,2021-05-08 08:57:30+00:00,14
39,SWR1485,2021-05-08 09:19:09+00:00,14
40,SWR137Q,2021-05-08 09:29:38+00:00,14
41,SWR152C,2021-05-08 09:01:18+00:00,14
42,HBDGE,2021-05-08 15:29:57+00:00,14
43,HBFUU,2021-05-08 14:04:44+00:00,14
44,HBFXG,2021-05-08 10:37:40+00:00,14
45,CAZ402,2021-05-08 18:29:37+00:00,28
46,EDW351,2021-05-08 12:00:29+00:00,14
47,SWR19N,2021-05-08 14:20:01+00:00,14
48,SWR72TL,2021-05-08 09:20:37+00:00,14
49,EDW131G,2021-05-08 14:07:34+00:00,14
50,EDW27D,2021-05-08 12:46:20+00:00,14
51,EDW299Z,2021-05-08 20:37:37+00:00,28
52,EDW366,2021-05-08 20:17:50+00:00,28
53,EDW382,2021-05-08 10:48:09+00:00,14
54,SWR219M,2021-05-08 14:51:49+00:00,14
55,EDW245,2021-05-08 11:23:33+00:00,14
56,SWR218R,2021-05-08 17:33:54+00:00,14
57,SWR22L,2021-05-08 14:17:30+00:00,14
58,SWR169A,2021-05-08 08:58:57+00:00,14
59,SWR144F,2021-05-08 09:35:11+00:00,14
60,SWR63D,2021-05-08 09:07:30+00:00,14
61,SWR69KC,2021-05-08 19:07:13+00:00,28
62,SWR1229,2021-05-08 09:15:58+00:00,14
63,SWR122W,2021-05-08 09:08:56+00:00,14
64,SWR145K,2021-05-08 17:32:04+00:00,14
65,SWR1069,2021-05-08 08:47:53+00:00,14
66,SWR38W,2021-05-08 09:41:38+00:00,14
67,SWR55R,2021-05-08 16:05:10+00:00,14
68,SWR59GW,2021-05-08 13:43:04+00:00,14
69,SWR145W,2021-05-08 15:46:18+00:00,14
70,SWR150Y,2021-05-08 19:41:47+00:00,28
71,SWR217C,2021-05-08 13:44:31+00:00,14
72,SWR213D,2021-05-08 16:06:56+00:00,14
73,SWR2713,2021-05-08 04:56:12+00:00,34
74,SWR60C,2021-05-08 09:12:16+00:00,14
75,SWR257,2021-05-08 08:43:52+00:00,14
76,SWR243,2021-05-08 04:10:26+00:00,34
77,EDW32J,2021-05-08 15:31:59+00:00,14
78,EDW403,2021-05-08 09:44:59+00:00,14
79,EDW28Y,2021-05-08 13:30:02+00:00,14
80,EDW231Z,2021-05-08 17:52:30+00:00,14
81,EDW267J,2021-05-08 19:22:42+00:00,28
82,SWR202Q,2021-05-08 12:35:23+00:00,14
