,callsign,stop,ILS_max
0,QTR3ML,2020-03-02 11:21:55+00:00,14
1,QTR1PJ,2020-03-02 05:15:58+00:00,34
2,AZA572,2020-03-02 08:57:33+00:00,14
3,ICDOL,2020-03-02 08:15:06+00:00,14
4,AEA1671,2020-03-02 15:56:47+00:00,14
5,AEA67TT,2020-03-02 09:41:07+00:00,14
6,VLG21QR,2020-03-02 19:02:27+00:00,28
7,IBE3474,2020-03-02 17:00:29+00:00,28
8,IBE34SF,2020-03-02 09:55:25+00:00,14
9,VLG306Z,2020-03-02 18:36:46+00:00,28
10,VLG6246,2020-03-02 07:39:52+00:00,14
11,IBE3476,2020-03-02 21:09:33+00:00,28
12,AFR27HR,2020-03-02 16:17:23+00:00,14
13,AFR67FP,2020-03-02 13:07:22+00:00,14
14,AFR63JZ,2020-03-02 07:34:23+00:00,14
15,AFR141W,2020-03-02 20:55:26+00:00,28
16,EWG7NM,2020-03-02 19:04:46+00:00,28
17,EWG30L,2020-03-02 12:27:38+00:00,14
18,EWG56L,2020-03-02 10:50:54+00:00,14
19,EWG764,2020-03-02 06:51:14+00:00,14
20,DLH4MM,2020-03-02 18:45:07+00:00,28
21,DLH8AF,2020-03-02 15:21:18+00:00,14
22,EWG18A,2020-03-02 06:45:16+00:00,14
23,EWG2T,2020-03-02 07:14:34+00:00,14
24,EWG4FU,2020-03-02 17:06:29+00:00,28
25,EWG9776,2020-03-02 14:17:59+00:00,14
26,EWG6RU,2020-03-02 19:36:04+00:00,28
27,EWG9AP,2020-03-02 15:07:29+00:00,14
28,DLH9YA,2020-03-02 07:54:43+00:00,14
29,DLH4EJ,2020-03-02 06:19:52+00:00,14
30,DLH8NF,2020-03-02 07:30:21+00:00,14
31,DLH8XA,2020-03-02 11:48:01+00:00,14
32,DLH6MH,2020-03-02 16:23:40+00:00,14
33,DLH6NT,2020-03-02 09:29:43+00:00,14
34,DLH4TR,2020-03-02 18:12:03+00:00,28
35,EWG15Z,2020-03-02 12:56:25+00:00,14
36,EWG1UR,2020-03-02 19:10:11+00:00,28
37,AHO485F,2020-03-02 08:41:57+00:00,14
38,AHO247A,2020-03-02 16:39:27+00:00,28
39,AZE21LA,2020-03-02 19:32:18+00:00,28
40,BAW708Z,2020-03-02 19:12:05+00:00,28
41,BAW720T,2020-03-02 20:57:29+00:00,28
42,BAW710,2020-03-02 08:27:33+00:00,14
43,BAW718,2020-03-02 17:09:03+00:00,28
44,EZY67PQ,2020-03-02 08:24:25+00:00,14
45,BAW712T,2020-03-02 10:53:09+00:00,14
46,BAW14R,2020-03-02 14:44:40+00:00,14
