,callsign,stop,ILS_max
0,QTR3ML,2020-03-17 11:05:04+00:00,14
1,QTR1PJ,2020-03-17 05:06:41+00:00,34
2,IBE3474,2020-03-17 17:16:15+00:00,14
3,AEA1671,2020-03-17 15:58:16+00:00,14
4,AEA67TT,2020-03-17 09:26:20+00:00,14
5,IBE34SF,2020-03-17 09:45:53+00:00,14
6,IBE3476,2020-03-17 21:02:13+00:00,28
7,AFR67FP,2020-03-17 13:11:24+00:00,14
8,EWG1UR,2020-03-17 18:28:28+00:00,14
9,EWG9776,2020-03-17 14:13:19+00:00,14
10,DLH4TR,2020-03-17 18:06:49+00:00,14
11,DLH4EJ,2020-03-17 06:18:18+00:00,14
12,EWG2T,2020-03-17 07:00:55+00:00,14
13,EWG18A,2020-03-17 06:46:09+00:00,14
14,EWG6RU,2020-03-17 19:22:54+00:00,14
15,EWG764,2020-03-17 06:53:20+00:00,14
16,EWG7NM,2020-03-17 18:51:59+00:00,14
17,DLH8XA,2020-03-17 11:33:20+00:00,14
18,DLH6MH,2020-03-17 16:03:04+00:00,14
19,DLH4MM,2020-03-17 18:25:22+00:00,14
20,DLH8AF,2020-03-17 15:16:02+00:00,14
21,DLH6NT,2020-03-17 09:22:50+00:00,14
22,BAW718,2020-03-17 17:07:16+00:00,14
23,BAW712T,2020-03-17 10:49:52+00:00,14
24,AFL2486,2020-03-17 09:29:12+00:00,14
25,VQBHA,2020-03-17 07:55:31+00:00,14
26,EJU47QY,2020-03-17 14:15:17+00:00,14
27,EJU87BF,2020-03-17 07:02:44+00:00,14
28,OEFGB,2020-03-17 05:54:15+00:00,34
29,OEFGB,2020-03-17 13:43:30+00:00,14
30,EJU89JX,2020-03-17 08:27:00+00:00,14
31,MJF590,2020-03-17 17:10:36+00:00,14
32,EWG6836,2020-03-17 10:56:19+00:00,14
33,GAC365E,2020-03-17 13:49:59+00:00,14
34,EJU51JM,2020-03-17 18:11:22+00:00,14
35,SAS609,2020-03-17 18:45:14+00:00,14
36,SAS99R,2020-03-17 08:39:07+00:00,14
37,FIN6AP,2020-03-17 08:33:33+00:00,14
38,FIN5DL,2020-03-17 17:00:04+00:00,14
39,AEE5SZ,2020-03-17 08:58:32+00:00,14
40,KLM1963,2020-03-17 17:01:23+00:00,14
41,KLM87E,2020-03-17 12:19:11+00:00,14
42,KLM21W,2020-03-17 15:25:38+00:00,14
43,KLM47B,2020-03-17 06:55:12+00:00,14
44,NJE284T,2020-03-17 15:55:21+00:00,14
45,NJE573N,2020-03-17 19:24:35+00:00,14
46,TAP926G,2020-03-17 15:56:46+00:00,14
47,TAP924C,2020-03-17 16:19:45+00:00,14
48,OKMYS,2020-03-17 12:59:53+00:00,14
49,EUW9543,2020-03-17 15:51:55+00:00,14
50,SWR81C,2020-03-17 09:57:09+00:00,14
51,SWR118P,2020-03-17 20:35:08+00:00,28
52,SWR563,2020-03-17 10:58:21+00:00,14
53,HBFPS,2020-03-17 11:24:05+00:00,14
54,EDW27Z,2020-03-17 21:05:33+00:00,28
55,SWR193P,2020-03-17 15:10:53+00:00,14
56,SWR283W,2020-03-17 15:37:29+00:00,14
57,SWR805G,2020-03-17 06:59:21+00:00,14
58,EDW27D,2020-03-17 15:44:05+00:00,14
59,EDW7105,2020-03-17 16:23:54+00:00,14
60,SWR21K,2020-03-17 14:48:53+00:00,14
61,SWR789,2020-03-17 19:53:30+00:00,14
62,SWR44KX,2020-03-17 05:36:27+00:00,34
63,SWR59GW,2020-03-17 14:20:17+00:00,14
64,SWR97Q,2020-03-17 20:47:07+00:00,28
65,SWR47A,2020-03-17 19:44:19+00:00,14
66,SWR124K,2020-03-17 16:46:32+00:00,14
67,SWR98H,2020-03-17 09:42:22+00:00,14
68,SWR32R,2020-03-17 10:51:11+00:00,14
