,callsign,stop,ILS_max
0,QTR02M,2021-05-03 12:03:51+00:00,14
1,AEA1671,2021-05-03 14:46:36+00:00,14
2,VLG73DW,2021-05-03 13:00:15+00:00,14
3,ANE80QY,2021-05-03 08:57:16+00:00,14
4,IBE34BZ,2021-05-03 16:30:13+00:00,14
5,DBVHA,2021-05-03 04:41:41+00:00,14
6,DBVHA,2021-05-03 16:37:21+00:00,14
7,EWG18A,2021-05-03 06:21:49+00:00,14
8,DLH9PL,2021-05-03 10:15:23+00:00,14
9,EWG2T,2021-05-03 06:23:47+00:00,16
10,DLH6EE,2021-05-03 06:19:32+00:00,14
11,DCKVI,2021-05-03 13:11:57+00:00,14
12,DEXPE,2021-05-03 16:14:34+00:00,14
13,AZE29UH,2021-05-03 09:25:41+00:00,14
14,DIEGA,2021-05-03 09:39:01+00:00,14
15,DISAR,2021-05-03 18:42:05+00:00,14
16,MLWSG,2021-05-03 09:17:05+00:00,14
17,AUA5BL,2021-05-03 17:11:32+00:00,14
18,FTY8,2021-05-03 11:13:13+00:00,14
19,GAC766P,2021-05-03 14:00:00+00:00,14
20,AUA5MJ,2021-05-03 06:58:32+00:00,14
21,TJS47,2021-05-03 08:23:25+00:00,14
22,EJU18YE,2021-05-03 18:27:32+00:00,14
23,GAC586V,2021-05-03 18:55:00+00:00,14
24,AOJ78P,2021-05-03 19:27:03+00:00,28
25,GAC319K,2021-05-03 13:30:14+00:00,14
26,MJF7L,2021-05-03 11:43:34+00:00,14
27,FIN5DL,2021-05-03 16:06:10+00:00,14
28,AEE5SZ,2021-05-03 08:07:34+00:00,14
29,KLM71Q,2021-05-03 20:05:19+00:00,28
30,KLM57C,2021-05-03 08:46:32+00:00,14
31,LOT411,2021-05-03 07:31:02+00:00,14
32,LOT419,2021-05-03 16:27:00+00:00,14
33,NJE499F,2021-05-03 09:13:29+00:00,14
34,NJE836K,2021-05-03 13:18:33+00:00,14
35,NJE147G,2021-05-03 18:47:30+00:00,14
36,TAP926,2021-05-03 15:02:48+00:00,14
37,OKPHM,2021-05-03 13:47:01+00:00,14
38,SWR254X,2021-05-03 15:04:41+00:00,14
39,SWR137Q,2021-05-03 09:15:10+00:00,14
40,EDW23F,2021-05-03 15:16:59+00:00,14
41,SWR262D,2021-05-03 12:27:47+00:00,14
42,SWR51D,2021-05-03 09:22:08+00:00,14
43,SWR122W,2021-05-03 09:19:08+00:00,14
44,SWR59GW,2021-05-03 13:01:47+00:00,14
45,SWR166N,2021-05-03 09:35:44+00:00,14
46,SWR72TL,2021-05-03 08:39:32+00:00,14
47,SWR169A,2021-05-03 09:08:15+00:00,14
48,SWR105K,2021-05-03 08:55:22+00:00,14
49,SWR1069,2021-05-03 08:41:00+00:00,14
50,SWR30K,2021-05-03 14:19:25+00:00,14
51,SWR19N,2021-05-03 14:20:58+00:00,14
52,SWR145W,2021-05-03 09:23:36+00:00,14
53,SWR1485,2021-05-03 09:03:48+00:00,14
54,SWR2067,2021-05-03 16:04:12+00:00,14
55,SWR208N,2021-05-03 17:06:28+00:00,14
56,SWR97G,2021-05-03 08:42:37+00:00,14
57,SWR283W,2021-05-03 15:08:46+00:00,14
58,SWR87,2021-05-03 04:03:42+00:00,14
59,SWR243,2021-05-03 04:13:39+00:00,14
60,SWR257,2021-05-03 08:52:38+00:00,14
61,EDW131G,2021-05-03 14:41:43+00:00,14
62,SWR38W,2021-05-03 09:09:47+00:00,14
63,SWR19R,2021-05-03 09:00:41+00:00,14
64,SWR15X,2021-05-03 08:20:25+00:00,14
65,SWR155,2021-05-03 05:29:36+00:00,14
66,SWR181,2021-05-03 04:01:02+00:00,14
67,SWR189,2021-05-03 04:50:19+00:00,14
68,SWR139,2021-05-03 04:05:50+00:00,14
69,SWR93,2021-05-03 08:03:13+00:00,14
70,SWR213D,2021-05-03 16:16:31+00:00,14
71,SWR1327,2021-05-03 18:29:30+00:00,14
72,SWR152C,2021-05-03 08:59:02+00:00,14
73,SAZ54,2021-05-03 17:47:27+00:00,14
74,SAZ72,2021-05-03 11:26:08+00:00,14
75,HBLVC,2021-05-03 14:57:29+00:00,14
76,HBSHC,2021-05-03 15:53:48+00:00,14
77,HBVLX,2021-05-03 14:29:37+00:00,14
78,FSE1C,2021-05-03 13:32:21+00:00,14
79,RGAQG,2021-05-03 11:29:35+00:00,14
80,THY6FL,2021-05-03 08:16:53+00:00,14
81,PGT947,2021-05-03 09:28:20+00:00,14
82,ASL55G,2021-05-03 06:49:44+00:00,14
83,YUPBB,2021-05-03 16:28:35+00:00,14
84,YUSPB,2021-05-03 08:36:04+00:00,14
85,AZA572,2021-05-03 08:00:29+00:00,14
86,SAS601,2021-05-03 07:25:48+00:00,14
87,9HSSK,2021-05-03 12:13:32+00:00,14
88,AMC490,2021-05-03 14:25:55+00:00,14
89,CTN460,2021-05-03 08:37:52+00:00,14
90,SIA346,2021-05-03 10:02:59+00:00,14
91,UAE87,2021-05-03 11:17:42+00:00,14
92,N46PL,2021-05-03 08:49:21+00:00,14
93,N474CG,2021-05-03 15:33:45+00:00,14
94,N685MF,2021-05-03 11:37:39+00:00,14
95,ACA7218,2021-05-03 08:44:12+00:00,14
