UID,N,ADEP,ADES,START,STOP,ARR,RWY
4b19f7-SWR97E-2020-03-10-0,2282,LSZH,EDDM,2020-03-10T11:20:55Z,2020-03-10T11:58:56Z,FALSE,NA
4b1f2f-HBLVB-2020-03-10-0,2439,EDJA,LSZH,2020-03-10T13:00:36Z,2020-03-10T13:41:14Z,TRUE,14
4b1f2f-HBLVB-2020-03-10-1,3444,LSZH,LSZB,2020-03-10T14:56:49Z,2020-03-10T15:54:12Z,FALSE,NA
4b288c-HBPJG-2020-03-10-0,4321,LSZH,ELLX,2020-03-10T08:21:20Z,2020-03-10T09:33:20Z,FALSE,NA
4b288c-HBPJG-2020-03-10-1,2944,ELLX,LSZH,2020-03-10T13:42:41Z,2020-03-10T14:31:44Z,TRUE,14
4b297a-HBPSK-2020-03-10-0,3578,LEJU,LSZH,2020-03-10T12:37:43Z,2020-03-10T16:41:03Z,TRUE,14
4b38a9-HBVLX-2020-03-10-0,3766,LYBE,LSZH,2020-03-10T16:40:05Z,2020-03-10T18:37:21Z,TRUE,14
4b8e01-PGT947-2020-03-10-0,2767,LTFJ,LSZH,2020-03-10T06:44:32Z,2020-03-10T09:23:50Z,TRUE,14
4b8e01-PGT948-2020-03-10-0,1947,LSZH,LTFJ,2020-03-10T10:49:38Z,2020-03-10T13:23:53Z,FALSE,NA
4baa54-THY6JL-2020-03-10-0,2090,LSZH,NA,2020-03-10T17:48:33Z,2020-03-10T20:09:02Z,FALSE,NA
4baa54-THY7UK-2020-03-10-0,2473,NA,LSZH,2020-03-10T13:34:30Z,2020-03-10T16:10:58Z,TRUE,14
4baa67-THY1908-2020-03-10-0,2572,LSZH,NA,2020-03-10T10:04:31Z,2020-03-10T12:30:51Z,FALSE,NA
4baa67-THY57D-2020-03-10-0,2904,NA,LSZH,2020-03-10T06:11:15Z,2020-03-10T08:45:09Z,TRUE,14
4baa90-THY89Z-2020-03-10-0,3385,LSZH,LTBW,2020-03-10T06:20:45Z,2020-03-10T09:09:25Z,FALSE,NA
4ca98a-AZA571-2020-03-10-0,1772,LSZH,LIRF,2020-03-10T10:09:16Z,2020-03-10T11:15:04Z,FALSE,NA
4ca98a-AZA572-2020-03-10-0,2706,LIRF,LSZH,2020-03-10T07:51:46Z,2020-03-10T09:08:59Z,TRUE,14
4caa77-AZA4DG-2020-03-10-0,2577,LIRF,LSZH,2020-03-10T16:06:14Z,2020-03-10T17:19:55Z,TRUE,14
4caa77-AZA573-2020-03-10-0,1761,LSZH,LIRF,2020-03-10T18:23:31Z,2020-03-10T19:20:41Z,FALSE,NA
4d0218-SVW50MC-2020-03-10-0,1893,LFPB,LSZH,2020-03-10T11:08:23Z,2020-03-10T11:50:29Z,TRUE,14
4d0218-SVW50MC-2020-03-10-1,2057,LSZH,LFPB,2020-03-10T12:45:06Z,2020-03-10T13:38:48Z,FALSE,NA
4d02ce-JFA08F-2020-03-10-0,2593,LSGG,LSZH,2020-03-10T07:12:05Z,2020-03-10T07:55:17Z,TRUE,14
4d02ce-JFA72C-2020-03-10-0,4652,LSZH,EHBK,2020-03-10T08:54:33Z,2020-03-10T10:29:29Z,FALSE,NA
4d20c8-VJT598-2020-03-10-0,1851,LFPB,LSZH,2020-03-10T18:34:43Z,2020-03-10T19:17:28Z,TRUE,14
4d20c8-VJT598-2020-03-10-1,2453,LSZH,EGKB,2020-03-10T21:16:33Z,2020-03-10T22:49:05Z,FALSE,NA
4d20cd-VJT796-2020-03-10-0,2127,LSZH,NA,2020-03-10T09:59:04Z,2020-03-10T11:17:00Z,FALSE,NA
4d20e8-VJT486-2020-03-10-0,3357,UUWW,LSZH,2020-03-10T06:37:33Z,2020-03-10T10:00:27Z,TRUE,14
4d20e8-VJT486-2020-03-10-1,1900,LSZH,UUWW,2020-03-10T13:01:37Z,2020-03-10T15:59:29Z,FALSE,NA
4d2137-KFE412-2020-03-10-0,2262,LSZH,LFPB,2020-03-10T15:55:56Z,2020-03-10T16:52:08Z,FALSE,NA
4d21dc-AMC490-2020-03-10-0,2799,NA,LSZH,2020-03-10T13:30:50Z,2020-03-10T15:42:57Z,TRUE,14
