UID,N,ADEP,ADES,START,STOP,ARR,RWY
04c11c-KQA116-2020-03-21-0,2346,NA,EHAM,2020-03-21T11:27:53Z,2020-03-21T13:26:40Z,TRUE,06
04c11c-KQA117-2020-03-21-0,2288,EHAM,NA,2020-03-21T20:20:51Z,2020-03-21T23:25:29Z,FALSE,NA
06a071-QTR3AU-2020-03-21-0,2806,OTHH,EHAM,2020-03-21T08:10:13Z,2020-03-21T11:46:28Z,TRUE,NA
06a071-QTR5JH-2020-03-21-0,2527,EHAM,OTHH,2020-03-21T14:12:37Z,2020-03-21T17:17:48Z,FALSE,NA
06a1e6-QTR8143-2020-03-21-0,2221,OTHH,EHAM,2020-03-21T15:09:23Z,2020-03-21T18:44:43Z,TRUE,06
06a1e6-QTR8143-2020-03-21-1,2322,EHAM,KATL,2020-03-21T21:09:51Z,2020-03-21T22:53:32Z,FALSE,NA
06a2c8-QTR9UF-2020-03-21-0,2237,OTHH,EHAM,2020-03-21T08:11:38Z,2020-03-21T11:33:55Z,TRUE,06
06a2c8-QTR9WR-2020-03-21-0,2457,EHAM,OTHH,2020-03-21T14:35:36Z,2020-03-21T17:34:45Z,FALSE,NA
06a2e2-QTR8101-2020-03-21-0,2211,OTHH,EHAM,2020-03-21T15:26:10Z,2020-03-21T18:50:55Z,TRUE,06
06a2e2-QTR8101-2020-03-21-1,2357,EHAM,KORD,2020-03-21T21:06:47Z,2020-03-21T22:51:20Z,FALSE,NA
345245-TFL091P-2020-03-21-0,2484,EHAM,LEMD,2020-03-21T10:25:22Z,2020-03-21T12:34:37Z,FALSE,NA
345682-SLM994-2020-03-21-0,2127,NA,EHAM,2020-03-21T07:28:39Z,2020-03-21T08:51:13Z,TRUE,06
346082-AEA1098-2020-03-21-0,2408,EHAM,NA,2020-03-21T18:08:04Z,2020-03-21T20:10:28Z,FALSE,NA
346082-AEA65BB-2020-03-21-0,2062,LEMD,EHAM,2020-03-21T14:12:37Z,2020-03-21T16:07:56Z,TRUE,06
346090-VLG83KQ-2020-03-21-0,2176,LEBL,EHAM,2020-03-21T06:30:17Z,2020-03-21T08:17:23Z,TRUE,06
346090-VLG83PJ-2020-03-21-0,2125,EHAM,LEBL,2020-03-21T09:12:32Z,2020-03-21T11:03:27Z,FALSE,NA
34610d-VLG8308-2020-03-21-0,2209,LEBL,EHAM,2020-03-21T14:58:59Z,2020-03-21T16:48:56Z,TRUE,06
34610d-VLG83XT-2020-03-21-0,2427,EHAM,LEBL,2020-03-21T18:03:07Z,2020-03-21T19:56:27Z,FALSE,NA
3944e4-AFR11RH-2020-03-21-0,2318,EHAM,LFML,2020-03-21T13:30:00Z,2020-03-21T15:05:22Z,FALSE,NA
3944e4-AFR182E-2020-03-21-0,2311,LFML,EHAM,2020-03-21T10:40:20Z,2020-03-21T12:10:04Z,TRUE,06
3944f0-AFR15ZL-2020-03-21-0,2594,EHAM,LFML,2020-03-21T19:39:06Z,2020-03-21T21:17:04Z,FALSE,NA
3944f0-AFR35WZ-2020-03-21-0,2311,LFML,EHAM,2020-03-21T16:45:25Z,2020-03-21T18:16:59Z,TRUE,06
3944f9-AFR164J-2020-03-21-0,2571,EHAM,LFPG,2020-03-21T13:19:31Z,2020-03-21T14:14:24Z,FALSE,NA
3944f9-AFR73JA-2020-03-21-0,2405,LFPG,EHAM,2020-03-21T11:30:38Z,2020-03-21T12:14:50Z,TRUE,06
394c04-AFR15UE-2020-03-21-0,2250,EHAM,LFPG,2020-03-21T08:43:30Z,2020-03-21T09:34:56Z,FALSE,NA
394c04-AFR31GX-2020-03-21-0,2430,LFPG,EHAM,2020-03-21T06:28:20Z,2020-03-21T07:14:58Z,TRUE,06
394c19-AFR1441-2020-03-21-0,2879,EHAM,LFPG,2020-03-21T19:33:48Z,2020-03-21T20:33:01Z,FALSE,NA
394c19-AFR92LW-2020-03-21-0,2357,LFPG,EHAM,2020-03-21T17:34:18Z,2020-03-21T18:18:28Z,TRUE,06
3950c7-AFR1741-2020-03-21-0,2755,EHAM,LFPG,2020-03-21T14:02:09Z,2020-03-21T15:03:27Z,FALSE,NA
3950c7-AFR99PK-2020-03-21-0,2448,LFPG,EHAM,2020-03-21T11:50:58Z,2020-03-21T12:36:56Z,TRUE,06
3991e8-AFR134M-2020-03-21-0,2713,EHAM,LFPG,2020-03-21T10:27:04Z,2020-03-21T11:25:35Z,FALSE,NA
3991e8-AFR17HR-2020-03-21-0,2061,LFPG,EHAM,2020-03-21T08:43:03Z,2020-03-21T09:22:20Z,TRUE,06
39cea2-TRA11Q-2020-03-21-0,2165,NA,EHAM,2020-03-21T20:58:28Z,2020-03-21T22:19:21Z,TRUE,06
39cea2-TRA15M-2020-03-21-0,2355,EHAM,LEMG,2020-03-21T05:54:34Z,2020-03-21T08:36:52Z,FALSE,NA
39cea2-TRA71A-2020-03-21-0,2085,LEMG,EHAM,2020-03-21T09:44:35Z,2020-03-21T12:12:41Z,TRUE,06
39cea2-TRA92U-2020-03-21-0,2338,EHAM,NA,2020-03-21T13:56:33Z,2020-03-21T15:29:37Z,FALSE,NA
3c08c9-AHO9823-2020-03-21-0,1781,EHAM,KMIA,2020-03-21T10:53:43Z,2020-03-21T12:44:34Z,FALSE,NA
3c5422-BCS6730-2020-03-21-0,2229,EGGW,EHAM,2020-03-21T10:02:03Z,2020-03-21T10:39:11Z,TRUE,06
3c542b-BCS6725-2020-03-21-0,2174,EHAM,LEMD,2020-03-21T11:45:30Z,2020-03-21T13:55:51Z,FALSE,NA
3c542b-BCS72E-2020-03-21-0,2063,LEMD,EHAM,2020-03-21T07:32:52Z,2020-03-21T09:26:27Z,TRUE,06
3c542e-BCS21G-2020-03-21-0,2644,EDDP,EHAM,2020-03-21T03:29:19Z,2020-03-21T04:29:56Z,TRUE,06
3c542e-BCS6731-2020-03-21-0,2842,EHAM,EGGW,2020-03-21T17:53:38Z,2020-03-21T18:43:48Z,FALSE,NA
3c5466-DLH1A-2020-03-21-0,3356,EHAM,EDDF,2020-03-21T09:30:31Z,2020-03-21T10:26:26Z,FALSE,NA
