UID,N,ADEP,ADES,START,STOP,ARR,RWY
0101ba-MSR757-2020-03-02-0,2869,NA,EHAM,2020-03-02T10:30:54Z,2020-03-02T13:09:57Z,TRUE,09
0101ba-MSR758-2020-03-02-0,1787,EHAM,NA,2020-03-02T14:27:20Z,2020-03-02T17:38:43Z,FALSE,NA
02007d-RAM850W-2020-03-02-0,2797,GMMN,EHAM,2020-03-02T11:55:13Z,2020-03-02T15:08:49Z,TRUE,09
02007d-RAM851W-2020-03-02-0,1867,EHAM,GMMN,2020-03-02T16:20:42Z,2020-03-02T19:10:20Z,FALSE,NA
020127-MAC122D-2020-03-02-0,2027,EHAM,NA,2020-03-02T11:12:39Z,2020-03-02T13:32:27Z,FALSE,NA
020127-MAC127-2020-03-02-0,3174,GMTT,EHAM,2020-03-02T06:44:55Z,2020-03-02T09:41:52Z,TRUE,18R
020145-MAC121-2020-03-02-0,2406,NA,EHAM,2020-03-02T16:42:11Z,2020-03-02T19:28:59Z,TRUE,27
020145-MAC124-2020-03-02-0,1866,EHAM,NA,2020-03-02T20:58:35Z,2020-03-02T23:59:59Z,FALSE,NA
04c15a-KQA116-2020-03-02-0,2729,NA,EHAM,2020-03-02T10:24:15Z,2020-03-02T13:51:56Z,TRUE,09
04c15a-KQA117-2020-03-02-0,1900,EHAM,VTBS,2020-03-02T20:16:46Z,2020-03-02T23:29:21Z,FALSE,NA
06a070-QTR3AU-2020-03-02-0,2469,OTHH,EHAM,2020-03-02T08:44:51Z,2020-03-02T12:03:27Z,TRUE,18C
06a070-QTR5JH-2020-03-02-0,1725,EHAM,OTHH,2020-03-02T14:34:21Z,2020-03-02T17:35:57Z,FALSE,NA
06a1c9-QQE775-2020-03-02-0,2179,NA,EHAM,2020-03-02T16:37:38Z,2020-03-02T19:31:31Z,TRUE,27
06a2c9-QTR9VZ-2020-03-02-0,2213,EHAM,OTHH,2020-03-02T17:17:30Z,2020-03-02T20:26:31Z,FALSE,NA
06a2c9-QTR9YU-2020-03-02-0,2625,OTHH,EHAM,2020-03-02T11:09:33Z,2020-03-02T14:35:26Z,TRUE,09
0d0a9a-AMX025-2020-03-02-0,2536,NA,EHAM,2020-03-02T13:55:39Z,2020-03-02T15:37:58Z,TRUE,09
0d0a9a-AMX026-2020-03-02-0,1811,EHAM,NA,2020-03-02T21:43:27Z,2020-03-02T22:59:59Z,FALSE,NA
3001ec-IELYS-2020-03-02-0,2329,NA,EHAM,2020-03-02T06:22:59Z,2020-03-02T07:39:45Z,TRUE,22
300254-VND6061-2020-03-02-0,2365,LIML,EHAM,2020-03-02T08:12:49Z,2020-03-02T09:35:07Z,TRUE,22
300254-VND6062-2020-03-02-0,1845,EHAM,LIML,2020-03-02T14:28:51Z,2020-03-02T15:48:36Z,FALSE,NA
3424d4-VLG8308-2020-03-02-0,2201,LEBL,EHAM,2020-03-02T14:59:16Z,2020-03-02T16:47:29Z,TRUE,27
3424d4-VLG83XT-2020-03-02-0,2042,EHAM,LEBL,2020-03-02T18:10:33Z,2020-03-02T19:49:57Z,FALSE,NA
342591-VLG137C-2020-03-02-0,2760,NA,EHAM,2020-03-02T09:44:43Z,2020-03-02T12:04:28Z,TRUE,09
342591-VLG13QW-2020-03-02-0,2081,EHAM,LEMU,2020-03-02T13:03:05Z,2020-03-02T15:10:29Z,FALSE,NA
343693-IBS37PA-2020-03-02-0,2695,LEMD,EHAM,2020-03-02T19:27:51Z,2020-03-02T21:39:35Z,TRUE,09
