UID,N,ADEP,ADES,START,STOP,ARR,RWY
0101e0-MSR777-2020-05-01-0,2093,NA,EGLL,2020-05-01T09:47:33Z,2020-05-01T12:19:42Z,TRUE,27L
04014b-ETH700-2020-05-01-0,2227,NA,EGLL,2020-05-01T01:45:07Z,2020-05-01T05:22:10Z,TRUE,27L
04c117-KQA2100-2020-05-01-0,2088,NA,EGLL,2020-05-01T11:16:05Z,2020-05-01T13:52:59Z,TRUE,27L
06a062-QTR8867-2020-05-01-0,1611,EGLL,OTHH,2020-05-01T11:26:11Z,2020-05-01T14:54:43Z,FALSE,NA
06a072-QTR8856-2020-05-01-0,2150,OTHH,EGLL,2020-05-01T04:24:46Z,2020-05-01T08:08:27Z,TRUE,27L
06a072-QTR8857-2020-05-01-0,1618,EGLL,OTHH,2020-05-01T09:46:37Z,2020-05-01T13:12:03Z,FALSE,NA
06a107-QTR7453-2020-05-01-0,2285,OTHH,EGLL,2020-05-01T02:37:46Z,2020-05-01T06:12:29Z,TRUE,27L
06a107-QTR745D-2020-05-01-0,1635,EGLL,OTHH,2020-05-01T08:33:11Z,2020-05-01T11:59:59Z,FALSE,NA
06a10c-QTR7451-2020-05-01-0,2398,OTHH,EGLL,2020-05-01T01:48:48Z,2020-05-01T05:25:27Z,TRUE,27L
06a10c-QTR7452-2020-05-01-0,1656,EGLL,OTHH,2020-05-01T08:00:15Z,2020-05-01T11:26:45Z,FALSE,NA
06a125-QTR3EM-2020-05-01-0,2321,OTHH,EGLL,2020-05-01T08:26:43Z,2020-05-01T12:12:57Z,TRUE,27L
06a125-QTR6KG-2020-05-01-0,1682,EGLL,OTHH,2020-05-01T13:57:02Z,2020-05-01T17:22:21Z,FALSE,NA
06a1bd-QTR8190-2020-05-01-0,2214,OTHH,EGLL,2020-05-01T12:43:54Z,2020-05-01T16:33:16Z,TRUE,27L
06a1bd-QTR8191-2020-05-01-0,1625,EGLL,OTHH,2020-05-01T18:59:03Z,2020-05-01T22:28:03Z,FALSE,NA
