UID,ARR,RWY,THR_TIME,C40_TIME,C40_BRG,C40_LAT,C40_LON,C40_ALT,C40_DIST,C40_OFFSET,C50_TIME,C50_BRG,C50_LAT,C50_LON,C50_ALT,C50_DIST,C50_OFFSET,C100_TIME,C100_BRG,C100_LAT,C100_LON,C100_ALT,C100_DIST,C100_OFFSET
06a0e7-QTR095-2019-05-22-0,TRUE,14,2019-05-22T12:13:16Z,2019-05-22T11:59:18Z,67.5563165500962,47.71183776855469,9.4590911865234375,16200,74014.58235668256,65.41764331744344,2019-05-22T11:57:36Z,71.92340616017009,47.71609031547934,9.720365084134617,19350,92592.04237419131,7.957625808689045,2019-05-22T11:50:23Z,82.61677788583648,47.67169189453125,10.99202728271484,29525,185106.0527053143,93.94729468569858
06a0e8-QTR093-2019-05-22-0,TRUE,14,2019-05-22T05:19:15Z,2019-05-22T05:05:34Z,69.26622770150317,47.69343566894531,9.469940185546877,16350,74029.62563929708,50.37436070291733,2019-05-22T05:03:49Z,71.231064661765,47.72568007646981,9.71599872295673,19475,92610.74404905475,10.744049054745119,2019-05-22T04:55:25Z,84.43515401523888,47.61926166081832,10.99970890925481,32000,185112.95085472867,87.04914527133224
3424d4-VLG306Z-2019-05-22-0,TRUE,14,2019-05-22T17:36:06Z,2019-05-22T17:19:03Z,223.84213886824602,46.97856321173199,7.870084322415865,18700,73997.11380655848,82.88619344151812,2019-05-22T17:17:14Z,224.05795555024596,46.86076354980469,7.698066525342989,20000,92513.67601110255,86.32398889744945,2019-05-22T17:08:51Z,216.2581294783121,46.11611938476562,7.110498940072409,27875,185246.36189682205,46.361896822054405
342581-VLG6246-2019-05-22-0,TRUE,14,2019-05-22T06:54:00Z,2019-05-22T06:38:38Z,231.8714557641674,47.04721069335938,7.776947021484375,17050,74063.1814913324,16.81850866759487,2019-05-22T06:36:56Z,231.81473485762797,46.94374213784427,7.585637019230768,19675,92601.06763139575,1.0676313957519596,2019-05-22T06:27:59Z,216.35381773866672,46.11846406581038,7.107948303222656,26650,185149.7204978499,50.279502150107874
3430c3-IBE3476-2019-05-22-0,TRUE,28,2019-05-22T20:08:54Z,2019-05-22T19:51:14Z,225.02850469547886,46.98797607421875,7.855224609375,16625,74032.24484572177,47.7551542782312,2019-05-22T19:48:55Z,225.44113902768342,46.87403869628906,7.675735473632812,18925,92648.34735062637,48.34735062636901,2019-05-22T19:39:57Z,226.71088299736576,46.31719556905455,6.775886535644531,28600,185204.54327380538,4.543273805378703
34320d-AEA76TU-2019-05-22-0,TRUE,14,2019-05-22T08:40:36Z,2019-05-22T08:20:32Z,231.8747614123464,47.04690189684852,7.776277982271634,19500,74124.30400943087,44.304009430867154,2019-05-22T08:18:59Z,231.82812126723871,46.94366455078125,7.585029602050781,22000,92642.56041611628,42.56041611627734,2019-05-22T08:11:24Z,231.36729731702135,46.4190673828125,6.64404892339939,26375,185240.8679014181,40.86790141809615
343542-AEA1671-2019-05-22-0,TRUE,14,2019-05-22T14:57:32Z,2019-05-22T14:44:44Z,231.8826492468224,47.04693603515625,7.776123046875,16175,74131.1529825578,51.152982557803625,2019-05-22T14:43:07Z,231.81360744002194,46.94398498535156,7.586128234863281,18500,92555.02374799391,44.97625200609036,2019-05-22T14:35:48Z,230.61899102078243,46.4020602985964,6.664169311523438,26475,185261.7743512506,61.77435125061311
34508a-IBE3464-2019-05-22-0,TRUE,14,2019-05-22T08:54:33Z,2019-05-22T08:36:41Z,231.89152821857363,47.04741397146451,7.776770958533653,18050,74059.59128356424,20.40871643576247,2019-05-22T08:34:52Z,231.8369887503463,46.94392834679555,7.585214468149037,20750,92613.27955837503,13.279558375026681,2019-05-22T08:26:38Z,231.41066274478828,46.42035532805879,6.6434326171875,28600,185186.65093945217,13.34906054782914
34608a-VLG21QR-2019-05-22-0,TRUE,14,2019-05-22T18:10:51Z,2019-05-22T17:55:44Z,228.61041415066,47.01785330045021,7.812406099759615,18275,74105.47441480488,25.474414804877597,2019-05-22T17:53:54Z,222.00467233138212,46.84034961765095,7.730117797851562,21850,92527.4038172336,72.59618276639958,2019-05-22T17:45:51Z,219.40639082152205,46.172607421875,7.004722036966464,23200,185186.8018746007,13.198125399299897
3944eb-AFR61GR-2019-05-22-0,TRUE,14,2019-05-22T12:10:17Z,2019-05-22T11:55:10Z,283.5201260797636,47.61351013183594,7.590042114257812,16450,74046.91279304973,33.08720695026568,2019-05-22T11:53:33Z,285.12192378109035,47.67484503277277,7.358727088341346,19000,92530.68517608574,69.31482391426107,2019-05-22T11:45:54Z,289.3298499536345,48.00862457792638,6.21410663311298,28800,185171.621153444,28.378846556006465
