UID,ARR,RWY,THR_TIME,C40_TIME,C40_BRG,C40_LAT,C40_LON,C40_ALT,C40_DIST,C40_OFFSET,C50_TIME,C50_BRG,C50_LAT,C50_LON,C50_ALT,C50_DIST,C50_OFFSET,C100_TIME,C100_BRG,C100_LAT,C100_LON,C100_ALT,C100_DIST,C100_OFFSET
02009f-RAM352-2021-05-12-0,TRUE,14,2021-05-12T09:33:55Z,2021-05-12T09:23:04Z,231.89266352209475,47.04671568789724,7.775432880108172,17250,74187.4175824986,107.4175824986014,2021-05-12T09:21:42Z,231.81034548082806,46.94350937665519,7.585355318509615,21025,92633.95731408506,33.95731408505526,2021-05-12T09:15:30Z,231.34214852432495,46.41934204101562,6.646259586985519,30375,185090.27446950212,109.7255304978753
06a0ea-QTR02M-2021-05-12-0,TRUE,14,2021-05-12T11:07:04Z,2021-05-12T10:53:53Z,67.85305446020993,47.7088623046875,9.461769104003906,18950,74076.76496605102,3.2350339489785256,2021-05-12T10:52:20Z,71.35371225279698,47.72423695709745,9.717900202824518,21775,92695.57504843373,95.57504843373317,2021-05-12T10:45:49Z,84.93036764345771,47.60501667604608,11.00245549128606,35200,185196.4842285524,3.515771447593579
344217-AEA1671-2021-05-12-0,TRUE,14,2021-05-12T14:37:45Z,2021-05-12T14:25:15Z,239.1919185426005,47.1169630147643,7.704866849459134,13125,74124.45532985704,44.45532985703903,2021-05-12T14:23:28Z,233.08380883395273,46.95873195842161,7.569720928485577,16600,92530.18186408933,69.81813591066748,2021-05-12T14:16:07Z,226.96497848042438,46.32234191894531,6.768047053639482,30650,185242.94323137254,42.94323137254105
3452c8-ANE80QY-2021-05-12-0,TRUE,14,2021-05-12T08:54:42Z,2021-05-12T08:42:07Z,231.88224036434568,47.04708810579979,7.776418832632211,15875,74103.05482564161,23.05482564160775,2021-05-12T08:40:38Z,231.82072505982808,46.94352722167969,7.585029602050781,19875,92652.08285553189,52.08285553188762,2021-05-12T08:33:21Z,229.95575979398012,46.38762910487288,6.683120727539062,23750,185194.65724760309,5.342752396914875
345597-ANE78JM-2021-05-12-0,TRUE,14,2021-05-12T16:26:40Z,2021-05-12T16:14:07Z,224.80070943081077,46.98638398768538,7.85839374248798,13775,73989.14083030738,90.85916969261598,2021-05-12T16:12:28Z,224.87308940403696,46.868408203125,7.684661865234375,17550,92613.77656608637,13.776566086366074,2021-05-12T16:05:19Z,227.52814282517255,46.33451300152277,6.751853942871094,31875,185216.36086601196,16.36086601196439
39990e-ASJ770-2021-05-12-0,TRUE,14,2021-05-12T05:57:01Z,2021-05-12T05:46:31Z,284.39630918249424,47.62362670898438,7.592170715332031,16575,74156.57969411093,76.57969411092927,2021-05-12T05:44:37Z,285.7337974932103,47.68377685546875,7.360153198242188,21325,92684.58820872486,84.58820872486103,2021-05-12T05:36:08Z,289.5147865575569,48.0135498046875,6.217231750488281,34350,185125.4713003703,74.52869962970726
399c31-FHHBR-2021-05-12-0,TRUE,14,2021-05-12T11:47:29Z,2021-05-12T11:35:41Z,283.78986453294795,47.61679439221398,7.589651254507211,16900,74159.5713230147,79.57132301469392,2021-05-12T11:34:10Z,284.9971249889636,47.67293639102224,7.358938363882211,19875,92461.73219184212,138.26780815787788,2021-05-12T11:27:26Z,287.5616104103011,47.96011714612023,6.190162071814903,33000,185241.94291109106,41.942911091056885
3c48ee-EWG18A-2021-05-12-0,TRUE,14,2021-05-12T05:46:11Z,2021-05-12T05:35:44Z,356.53646595519933,48.12208557128906,8.4881744384765625,13900,74060.94176055361,19.058239446385414,2021-05-12T05:33:54Z,357.52682307552686,48.28840352721133,8.49452771638569,16425,92526.28117482438,73.71882517561608,2021-05-12T05:25:07Z,353.73036397872636,49.11163330078125,8.274945710834704,32350,185189.14179059872,10.858209401281783
3c4dd1-DLH4JE-2021-05-12-0,TRUE,14,2021-05-12T16:37:23Z,2021-05-12T16:24:02Z,66.56596984880542,47.72293349443856,9.454298753004808,19225,74157.95789196229,77.95789196228725,2021-05-12T16:22:13Z,70.02843351663131,47.74186706542969,9.7064208984375,22500,92517.33217982943,82.66782017056539,2021-05-12T16:13:51Z,66.89277729288597,48.11100769042969,10.82572174072266,22850,185219.23778527818,19.237785278179217
3c506c-DCS101-2021-05-12-0,TRUE,14,2021-05-12T10:47:57Z,2021-05-12T10:36:52Z,11.845336913745086,48.10972595214844,8.751434326171875,13125,74128.32292089652,48.32292089652037,2021-05-12T10:34:56Z,15.587692388755954,48.25863647460938,8.880896935096153,16350,92529.58512031536,70.41487968464207,2021-05-12T10:26:30Z,31.20625304707829,48.8805479922537,9.840208354749176,30975,185144.42345789602,55.57654210398323
3c5ef6-EWG14KD-2021-05-12-0,TRUE,14,2021-05-12T15:24:35Z,2021-05-12T15:14:27Z,358.7232028613507,48.12253790386652,8.525954026442307,12975,73994.39252227223,85.60747772776813,2021-05-12T15:12:34Z,1.9381766177275495,48.28919491525424,8.589935302734375,17100,92581.15902660089,18.840973399113864,2021-05-12T15:04:42Z,5.7783285332548076,49.11378479003906,8.799837552584133,35000,185262.3809071658,62.38090716578881
3c65c7-DLH6EE-2021-05-12-0,TRUE,14,2021-05-12T06:42:51Z,2021-05-12T06:32:23Z,359.99983261572214,48.12309653072034,8.547997107872595,13050,74038.20712847753,41.792871522469795,2021-05-12T06:30:25Z,358.3937403547438,48.29022216796875,8.513207068810095,16775,92678.96458459817,78.96458459817222,2021-05-12T06:21:15Z,359.2024959197558,49.12088012695312,8.513207068810095,23000,185128.9005969108,71.0994030892034
