UID,ARR,RWY,THR_TIME,C40_TIME,C40_BRG,C40_LAT,C40_LON,C40_ALT,C40_DIST,C40_OFFSET,C50_TIME,C50_BRG,C50_LAT,C50_LON,C50_ALT,C50_DIST,C50_OFFSET,C100_TIME,C100_BRG,C100_LAT,C100_LON,C100_ALT,C100_DIST,C100_OFFSET
01012b-MSR777-2021-05-21-0,TRUE,27L,2021-05-21T12:37:34Z,2021-05-21T12:24:05Z,71.45162976074204,51.68210821636652,0.5523681640625,12275,74015.77496789099,64.2250321090105,2021-05-21T12:22:00Z,73.62391537377044,51.70496536513506,0.821685791015625,14525,92533.88807734611,66.11192265388672,2021-05-21T12:13:52Z,79.02936301779584,51.78736282607256,2.170486450195312,30900,185280.4834086265,80.48340862648911
040131-ETH700-2021-05-21-0,TRUE,27R,2021-05-21T05:37:31Z,2021-05-21T05:21:11Z,125.15681057635288,51.08738708496094,0.4079045476140203,14000,74084.08775139735,4.087751397353713,2021-05-21T05:19:18Z,127.04440485558757,50.96939345537606,0.598297119140625,17950,92613.61854149855,13.618541498552077,2021-05-21T05:10:44Z,130.81403525427714,50.38334733348781,1.535562051309122,31600,185170.75297859972,29.247021400282392
06a062-QTR015-2021-05-21-0,TRUE,27R,2021-05-21T19:06:02Z,2021-05-21T18:51:06Z,73.85427520131077,51.65574645996094,0.5668351456925675,11300,74115.87475508229,35.874755082288175,2021-05-21T18:48:48Z,74.3356049740421,51.69542215638241,0.8283233642578125,14550,92690.97655217642,90.97655217642023,2021-05-21T18:41:07Z,80.02422427059486,51.75882630429025,2.177047729492188,31725,185205.39647211056,5.396472110558534
06a070-QTR2GP-2021-05-21-0,TRUE,27L,2021-05-21T12:05:18Z,2021-05-21T11:51:35Z,75.10595048583701,51.64169311523438,0.5726994694890203,10850,74098.97596891408,18.975968914077384,2021-05-21T11:49:33Z,74.33132039691253,51.69538879394531,0.8277604386613175,12850,92652.51496022943,52.514960229425924,2021-05-21T11:41:35Z,79.23908833738119,51.78131103515625,2.171581371410473,27200,185239.74370386303,39.74370386303053
06a07a-QTR6CF-2021-05-21-0,TRUE,27L,2021-05-21T13:12:42Z,2021-05-21T12:58:35Z,72.00432205749183,51.67600987321239,0.5554962158203125,12125,74012.91329971327,67.08670028673077,2021-05-21T12:56:25Z,74.32656325598595,51.6954345703125,0.8276119747677365,14775,92643.96069517286,43.96069517286378,2021-05-21T12:47:41Z,79.23783093628947,51.78135681152344,2.171655603357264,29775,185245.64349091577,45.64349091576878
06a1c0-QTR09L-2021-05-21-0,TRUE,27R,2021-05-21T05:18:36Z,2021-05-21T05:04:32Z,74.93311012695415,51.6436095156912,0.571746826171875,11625,74088.9691017486,8.969101748603862,2021-05-21T05:02:07Z,74.33033485751719,51.69532905190677,0.82733154296875,14600,92622.2116902314,22.211690231401008,2021-05-21T04:52:52Z,79.92183316771451,51.76162719726562,2.175144504856419,30150,185124.60044429533,75.39955570467282
06a2e5-QTR698U-2021-05-21-0,TRUE,27L,2021-05-21T17:07:20Z,2021-05-21T16:52:08Z,72.02498521439321,51.67593383789062,0.5563684411951013,11750,74067.75176498106,12.24823501893843,2021-05-21T16:50:04Z,74.33517370771807,51.69537560414459,0.8280181884765625,14625,92669.29684760152,69.29684760152304,2021-05-21T16:42:00Z,80.00946585242684,51.75924682617188,2.176926071579392,31100,185204.396126399,4.396126398991328
06a2e7-QTR43KU-2021-05-21-0,TRUE,27L,2021-05-21T10:43:57Z,2021-05-21T10:30:20Z,81.70841905215269,51.56651900986493,0.5957794189453125,10575,74041.35158159524,38.64841840475856,2021-05-21T10:28:17Z,80.51049695268898,51.60767118809586,0.856475830078125,13325,92550.33964751619,49.66035248381377,2021-05-21T10:19:44Z,81.29613552594492,51.72235107421875,2.185314281566723,29900,185182.944283521,17.055716478993418
34604e-IBE3166-2021-05-21-0,TRUE,27L,2021-05-21T15:44:37Z,2021-05-21T15:26:26Z,212.13268938433507,50.90675354003906,-1.026998983847136,11325,74120.88764274148,40.887642741479794,2021-05-21T15:24:56Z,211.62029361703918,50.76172392247086,-1.1572265625,15150,92668.9422206977,68.9422206977033,2021-05-21T15:18:17Z,207.4384613729169,49.99417062533104,-1.673188080658804,34000,185185.77099387607,14.229006123932777
3461cb-IBE31PL-2021-05-21-0,TRUE,27R,2021-05-21T07:27:48Z,2021-05-21T07:11:37Z,207.19863256184976,50.879150390625,-0.9467542493665632,14425,74024.88257616822,55.11742383177625,2021-05-21T07:10:03Z,209.07998264038997,50.74310302734375,-1.106338500976562,17175,92665.56196623338,65.56196623337746,2021-05-21T07:02:46Z,203.51522233920952,49.94444274902344,-1.510692395662034,30575,185276.04267027215,76.04267027214519
3944eb-AFR25UH-2021-05-21-0,TRUE,27L,2021-05-21T15:30:06Z,2021-05-21T15:14:10Z,125.1422978456568,51.08754303495763,0.40802001953125,14925,74080.58381713695,0.5838171369541669,2021-05-21T15:12:14Z,127.06764697554797,50.96944000761388,0.5973052978515625,17250,92555.28178153741,44.718218462585355,2021-05-21T15:03:26Z,130.3687833488641,50.39291381835938,1.549578214946546,25975,185213.61210257528,13.612102575280005
3944eb-AFR38MM-2021-05-21-0,TRUE,27R,2021-05-21T09:34:02Z,2021-05-21T09:18:06Z,116.58538850969194,51.17257690429688,0.4909700960726351,14500,74130.15573296753,50.155732967527,2021-05-21T09:16:01Z,120.9455101901018,51.04271322993909,0.67840576171875,17650,92628.47289829521,28.472898295207415,2021-05-21T09:07:18Z,135.50473777596716,50.28355407714844,1.38659025493421,26000,185246.51788050155,46.51788050154573
3944f5-AFR15AZ-2021-05-21-0,TRUE,27R,2021-05-21T20:18:33Z,2021-05-21T20:06:16Z,125.17597685050913,51.08688354492188,0.4084241712415541,14500,74146.22073028694,66.22073028693558,2021-05-21T20:04:27Z,127.08459758228815,50.96902103747352,0.5975341796875,18000,92596.39776980937,3.6022301906341454,2021-05-21T19:57:13Z,134.9664120866562,50.29472351074219,1.404153924239309,26000,185221.3740430408,21.374043040792458
3c5430-BCS35P-2021-05-21-0,TRUE,27R,2021-05-21T19:36:23Z,2021-05-21T19:22:29Z,125.0920511086295,51.08775329589844,0.4091664907094595,13500,74132.30569311697,52.30569311697036,2021-05-21T19:20:27Z,126.99629951003243,50.97041760460805,0.597991943359375,16025,92527.33418470899,72.6658152910095,2021-05-21T19:12:35Z,132.11418467935965,50.35523986816406,1.495007966694079,28325,185141.33727682376,58.662723176239524
3c56ec-EWG12H-2021-05-21-0,TRUE,27L,2021-05-21T14:50:24Z,2021-05-21T14:38:18Z,85.47151658606083,51.52317887645656,0.604400634765625,10975,74131.15734251575,51.15734251575486,2021-05-21T14:36:16Z,80.87718768732111,51.6024169921875,0.8577501451646959,13475,92548.0361082187,51.963891781299026,2021-05-21T14:28:08Z,88.14297979041271,51.52450561523438,2.208697344805743,32000,185166.82474868264,33.175251317356015
3c5ef5-EWG5PK-2021-05-21-0,TRUE,27L,2021-05-21T18:02:23Z,2021-05-21T17:48:35Z,75.21793460357543,51.64044396351959,0.573272705078125,10475,74102.66966557986,22.6696655798587,2021-05-21T17:46:11Z,74.32369896026916,51.69546870862023,0.8275604248046875,13975,92641.52205983919,41.52205983918975,2021-05-21T17:37:21Z,77.27323394751761,51.83720397949219,2.154433791701858,30625,185236.64986200025,36.64986200025305
3c65c4-DLH908-2021-05-21-0,TRUE,27L,2021-05-21T13:33:03Z,2021-05-21T13:18:58Z,73.47865542472528,51.65986633300781,0.5645339553420609,9000,74088.94200683263,8.942006832628977,2021-05-21T13:16:37Z,73.5384623387701,51.70654814122086,0.8232879638671875,10925,92688.49104796523,88.4910479652317,2021-05-21T13:07:39Z,81.51115646685741,51.71613790221133,2.186203002929688,31200,185152.73772248285,47.262277517147595
3c65c5-DLH914-2021-05-21-0,TRUE,27L,2021-05-21T15:38:20Z,2021-05-21T15:25:16Z,72.02193844503148,51.67605642545021,0.556793212890625,11650,74099.82584231609,19.8258423160878,2021-05-21T15:23:10Z,74.33015372818016,51.69525146484375,0.8268696552998311,14000,92589.19155445232,10.808445547678275,2021-05-21T15:14:08Z,84.03646300180833,51.64337675450211,2.198333740234375,31175,185112.49368275076,87.50631724923733
3c65c8-DLH5XL-2021-05-21-0,TRUE,27R,2021-05-21T21:01:39Z,2021-05-21T20:48:08Z,75.70544493387064,51.63504390393273,0.576019287109375,10575,74139.91396615532,59.91396615531994,2021-05-21T20:46:06Z,74.33254743637144,51.69528249966896,0.8272552490234375,13825,92615.77516597431,15.775165974308038,2021-05-21T20:37:03Z,84.14054819641035,51.64045715332031,2.20008643897804,29350,185205.55525894216,5.555258942156797
