UID,N,ADEP,ADES,START,STOP,ARR,RWY
06a0e7-QTR1PJ-2020-03-12-0,2790,OTHH,LSZH,2020-03-12T02:12:15Z,2020-03-12T05:22:17Z,TRUE,34
06a0e7-QTR8TL-2020-03-12-0,1860,LSZH,OTHH,2020-03-12T07:16:06Z,2020-03-12T09:53:56Z,FALSE,NA
06a0eb-QTR3ML-2020-03-12-0,2560,OTHH,LSZH,2020-03-12T08:14:51Z,2020-03-12T11:19:28Z,TRUE,28
06a0eb-QTR3TJ-2020-03-12-0,1992,LSZH,OTHH,2020-03-12T15:11:49Z,2020-03-12T17:55:22Z,FALSE,NA
3423c4-IBE3476-2020-03-12-0,2104,LEMD,LSZH,2020-03-12T19:25:24Z,2020-03-12T20:59:08Z,TRUE,28
343141-IBE3474-2020-03-12-0,2118,LEMD,LSZH,2020-03-12T15:12:15Z,2020-03-12T16:46:29Z,TRUE,28
343141-IBE34HR-2020-03-12-0,2619,LSZH,LETO,2020-03-12T18:00:06Z,2020-03-12T20:08:30Z,FALSE,NA
34324e-IBE3477-2020-03-12-0,2382,LSZH,LEMD,2020-03-12T10:51:09Z,2020-03-12T12:55:09Z,FALSE,NA
34324e-IBE34SF-2020-03-12-0,2237,LEMD,LSZH,2020-03-12T08:03:18Z,2020-03-12T09:38:55Z,TRUE,14
343697-AEA1671-2020-03-12-0,2388,LEMD,LSZH,2020-03-12T14:13:00Z,2020-03-12T15:51:56Z,TRUE,28
343697-AEA67TT-2020-03-12-0,1995,LEMD,LSZH,2020-03-12T07:36:20Z,2020-03-12T09:11:07Z,TRUE,14
343697-AEA82NI-2020-03-12-0,2420,LSZH,LEMD,2020-03-12T10:25:37Z,2020-03-12T12:32:45Z,FALSE,NA
343697-AEA86PM-2020-03-12-0,2874,LSZH,LETO,2020-03-12T17:32:52Z,2020-03-12T19:44:17Z,FALSE,NA
345313-VLG8349-2020-03-12-0,3053,LSZH,LEPA,2020-03-12T17:24:32Z,2020-03-12T19:26:17Z,FALSE,NA
345313-VLG93JR-2020-03-12-0,2204,LEPA,LSZH,2020-03-12T15:08:14Z,2020-03-12T16:36:56Z,TRUE,28
34608f-VLG306Z-2020-03-12-0,2323,LEBL,LSZH,2020-03-12T17:10:30Z,2020-03-12T18:28:23Z,TRUE,28
34608f-VLG64JB-2020-03-12-0,2330,LSZH,LEBL,2020-03-12T19:43:01Z,2020-03-12T21:15:53Z,FALSE,NA
346187-GES441S-2020-03-12-0,8011,LSZH,EDDB,2020-03-12T06:00:58Z,2020-03-12T08:50:29Z,FALSE,NA
346187-GES441S-2020-03-12-1,2641,LFQQ,LSZH,2020-03-12T17:02:26Z,2020-03-12T18:01:31Z,TRUE,28
346303-IBE3475-2020-03-12-0,2465,LSZH,LEMD,2020-03-12T06:32:16Z,2020-03-12T08:38:59Z,FALSE,NA
3950c5-AFR161N-2020-03-12-0,2527,LSZH,LFPG,2020-03-12T14:17:34Z,2020-03-12T15:15:13Z,FALSE,NA
3950c5-AFR67FP-2020-03-12-0,2575,LFPG,LSZH,2020-03-12T12:17:52Z,2020-03-12T13:12:59Z,TRUE,28
3950c8-AFR92HN-2020-03-12-0,2909,LSZH,LFPG,2020-03-12T05:45:15Z,2020-03-12T06:51:16Z,FALSE,NA
3950c9-AFR63JZ-2020-03-12-0,2276,LFPG,LSZH,2020-03-12T06:41:10Z,2020-03-12T07:32:59Z,TRUE,14
3950c9-AFR96AP-2020-03-12-0,2731,LSZH,LFPG,2020-03-12T08:44:05Z,2020-03-12T09:46:21Z,FALSE,NA
3950cc-AFR141W-2020-03-12-0,2250,LFPG,LSZH,2020-03-12T20:02:50Z,2020-03-12T20:54:39Z,TRUE,28
3c2efd-ADN42L-2020-03-12-0,2414,EDMA,LSZH,2020-03-12T09:07:15Z,2020-03-12T09:47:28Z,TRUE,14
3c2efd-ADN42L-2020-03-12-1,1864,LSZH,EDMA,2020-03-12T19:20:14Z,2020-03-12T19:51:17Z,FALSE,NA
3c4844-EWG2T-2020-03-12-0,2219,EDDH,LSZH,2020-03-12T06:17:40Z,2020-03-12T07:24:18Z,TRUE,16
3c4844-EWG6NL-2020-03-12-0,1990,LSZH,EDDH,2020-03-12T08:12:08Z,2020-03-12T09:36:28Z,FALSE,NA
3c49cc-EWG18A-2020-03-12-0,2457,EDDL,LSZH,2020-03-12T05:56:54Z,2020-03-12T06:50:58Z,TRUE,14
3c49cc-EWG71R-2020-03-12-0,3089,LSZH,EDDL,2020-03-12T07:43:49Z,2020-03-12T08:54:25Z,FALSE,NA
3c49ce-EWG6F-2020-03-12-0,2966,LSZH,EDDK,2020-03-12T19:44:08Z,2020-03-12T20:37:12Z,FALSE,NA
3c49ce-EWG7NM-2020-03-12-0,2483,EDDK,LSZH,2020-03-12T18:17:52Z,2020-03-12T19:06:21Z,TRUE,28
3c4d6b-DLH3C-2020-03-12-0,2688,LSZH,EDDF,2020-03-12T07:09:09Z,2020-03-12T07:53:56Z,FALSE,NA
3c4d6b-DLH4EJ-2020-03-12-0,1889,EDDF,LSZH,2020-03-12T05:42:45Z,2020-03-12T06:14:13Z,TRUE,14
3c4dc8-DLH8XA-2020-03-12-0,2052,EDDM,LSZH,2020-03-12T11:04:43Z,2020-03-12T11:38:54Z,TRUE,28
3c4dc8-DLH9HT-2020-03-12-0,2537,LSZH,EDDM,2020-03-12T12:38:09Z,2020-03-12T13:20:25Z,FALSE,NA
3c5443-DLH4MM-2020-03-12-0,2473,EDDM,LSZH,2020-03-12T17:54:37Z,2020-03-12T18:35:49Z,TRUE,28
3c5443-DLH8ME-2020-03-12-0,2449,LSZH,EDDM,2020-03-12T19:17:34Z,2020-03-12T19:58:22Z,FALSE,NA
3c564f-AHO333-2020-03-12-0,2547,NA,LSZH,2020-03-12T15:10:07Z,2020-03-12T17:11:54Z,TRUE,28
3c56f2-EWG4FU-2020-03-12-0,2431,EDDL,LSZH,2020-03-12T16:18:00Z,2020-03-12T17:08:29Z,TRUE,28
3c56f2-EWG9767-2020-03-12-0,2261,LSZH,EDDL,2020-03-12T17:51:55Z,2020-03-12T18:46:47Z,FALSE,NA
3c56f3-EWG1UR-2020-03-12-0,2865,EDDH,LSZH,2020-03-12T17:26:00Z,2020-03-12T18:44:29Z,TRUE,28
3c56f3-EWG7WP-2020-03-12-0,2472,LSZH,EDDH,2020-03-12T19:24:32Z,2020-03-12T20:38:58Z,FALSE,NA
3c5ee3-EWG6RU-2020-03-12-0,2426,EDDL,LSZH,2020-03-12T18:30:12Z,2020-03-12T19:21:46Z,TRUE,28
3c5ee3-EWG8PA-2020-03-12-0,2594,LSZH,EDDL,2020-03-12T20:09:42Z,2020-03-12T21:15:02Z,FALSE,NA
3c5ee4-EWG2KV-2020-03-12-0,2502,LSZH,EDDL,2020-03-12T15:11:10Z,2020-03-12T16:11:48Z,FALSE,NA
3c5ee4-EWG9776-2020-03-12-0,2295,EDDL,LSZH,2020-03-12T13:29:03Z,2020-03-12T14:17:27Z,TRUE,28
3c5efa-EWG15W-2020-03-12-0,4148,LSZH,EDDK,2020-03-12T07:19:30Z,2020-03-12T08:32:27Z,FALSE,NA
3c5efa-EWG764-2020-03-12-0,2355,EDDK,LSZH,2020-03-12T06:08:17Z,2020-03-12T06:51:58Z,TRUE,14
3c5efa-EWG7X-2020-03-12-0,2920,LSZH,EDDK,2020-03-12T16:07:10Z,2020-03-12T16:59:29Z,FALSE,NA
3c5efa-EWG9AP-2020-03-12-0,2664,EDDK,LSZH,2020-03-12T14:29:16Z,2020-03-12T15:19:58Z,TRUE,28
3c648b-DLH4WY-2020-03-12-0,2781,EDDF,LSZH,2020-03-12T12:15:39Z,2020-03-12T13:01:59Z,TRUE,28
3c648b-DLH9C-2020-03-12-0,3183,LSZH,EDDF,2020-03-12T13:45:23Z,2020-03-12T14:38:25Z,FALSE,NA
3c6590-DLH8AF-2020-03-12-0,2114,EDDM,LSZH,2020-03-12T14:48:35Z,2020-03-12T15:23:48Z,TRUE,28
3c6590-DLH8EN-2020-03-12-0,2930,LSZH,EDDM,2020-03-12T16:17:39Z,2020-03-12T17:06:28Z,FALSE,NA
3c65d1-DLH4TR-2020-03-12-0,2605,EDDF,LSZH,2020-03-12T17:22:00Z,2020-03-12T18:05:24Z,TRUE,28
3c65d1-DLH8C-2020-03-12-0,3018,LSZH,EDDF,2020-03-12T19:05:34Z,2020-03-12T19:55:51Z,FALSE,NA
3c6674-DLH6C-2020-03-12-0,3704,LSZH,EDDF,2020-03-12T17:03:37Z,2020-03-12T18:05:20Z,FALSE,NA
3c6674-DLH6MH-2020-03-12-0,2981,EDDF,LSZH,2020-03-12T15:30:31Z,2020-03-12T16:20:11Z,TRUE,28
3c66a1-DLH6NT-2020-03-12-0,3075,EDDF,LSZH,2020-03-12T08:42:33Z,2020-03-12T09:33:47Z,TRUE,14
3c66a1-DLH7C-2020-03-12-0,3391,LSZH,EDDF,2020-03-12T10:23:04Z,2020-03-12T11:19:34Z,FALSE,NA
3c9085-DCS503-2020-03-12-0,885,LSZH,EDNY,2020-03-12T10:38:55Z,2020-03-12T10:53:39Z,FALSE,NA
3cb089-BAO408I-2020-03-12-0,2324,LFLS,LSZH,2020-03-12T10:07:38Z,2020-03-12T10:46:21Z,TRUE,28
3cb089-BAO408I-2020-03-12-1,1650,LSZH,UUWW,2020-03-12T13:05:10Z,2020-03-12T15:37:05Z,FALSE,NA
3cc9ab-AMB111-2020-03-12-0,2058,NA,LSZH,2020-03-12T20:21:08Z,2020-03-12T22:11:46Z,TRUE,28
3ccb16-EFD4E-2020-03-12-0,2179,LPCS,LSZH,2020-03-12T13:53:04Z,2020-03-12T16:11:22Z,TRUE,28
3ccb16-EFD4E-2020-03-12-1,2586,LSZH,LEIB,2020-03-12T17:40:42Z,2020-03-12T19:41:52Z,FALSE,NA
3cce71-FCK511-2020-03-12-0,8735,LSZH,LSZH,2020-03-12T12:32:23Z,2020-03-12T14:57:57Z,TRUE,28
3cce71-FCK511-2020-03-12-1,8617,LSZH,LSZH,2020-03-12T21:34:53Z,2020-03-12T23:58:29Z,TRUE,28
3ce005-EFD6H-2020-03-12-0,2249,EGHI,LSZH,2020-03-12T17:47:37Z,2020-03-12T18:58:58Z,TRUE,28
3cefbc-SCR378-2020-03-12-0,2646,LSZH,LFPB,2020-03-12T09:01:10Z,2020-03-12T10:05:29Z,FALSE,NA
3cefbc-SCR378-2020-03-12-1,2499,LFPB,LSZH,2020-03-12T14:46:20Z,2020-03-12T15:39:20Z,TRUE,28
3e175e-AZE61QW-2020-03-12-0,2808,LSZH,NA,2020-03-12T09:02:16Z,2020-03-12T10:11:26Z,FALSE,NA
3e175e-AZE69QW-2020-03-12-0,2631,LFMN,LSZH,2020-03-12T07:02:03Z,2020-03-12T07:55:18Z,TRUE,14
3e4801-AWU912K-2020-03-12-0,2514,LSZH,EHGG,2020-03-12T11:31:19Z,2020-03-12T12:47:26Z,FALSE,NA
4008ae-BAW720T-2020-03-12-0,2109,EGLL,LSZH,2020-03-12T19:44:41Z,2020-03-12T20:56:35Z,TRUE,28
40093f-BAW707H-2020-03-12-0,3071,LSZH,EGLL,2020-03-12T20:00:06Z,2020-03-12T21:47:33Z,FALSE,NA
40093f-BAW708Z-2020-03-12-0,2393,EGLL,LSZH,2020-03-12T17:41:13Z,2020-03-12T18:56:23Z,TRUE,28
400942-BAW718-2020-03-12-0,2190,EGLL,LSZH,2020-03-12T15:59:39Z,2020-03-12T17:15:19Z,TRUE,28
400942-BAW719-2020-03-12-0,2658,LSZH,EGLL,2020-03-12T18:21:39Z,2020-03-12T20:09:57Z,FALSE,NA
4009c6-BAW14R-2020-03-12-0,2094,EGLL,LSZH,2020-03-12T13:40:04Z,2020-03-12T14:51:58Z,TRUE,28
4009c6-BAW717T-2020-03-12-0,2633,LSZH,EGLL,2020-03-12T15:51:30Z,2020-03-12T17:23:50Z,FALSE,NA
400b83-BAW3ZL-2020-03-12-0,2999,LSZH,EGLL,2020-03-12T12:09:33Z,2020-03-12T13:45:15Z,FALSE,NA
400b83-BAW712T-2020-03-12-0,2718,EGLL,LSZH,2020-03-12T09:35:03Z,2020-03-12T11:00:37Z,TRUE,28
400bdb-EZY37VV-2020-03-12-0,2353,EGKK,LSZH,2020-03-12T17:17:03Z,2020-03-12T18:31:41Z,TRUE,28
