UID,N,ADEP,ADES,START,STOP,ARR,RWY
0101ba-MSR757-2019-03-05-0,3151,NA,EHAM,2019-03-05T08:41:00Z,2019-03-05T13:21:26Z,TRUE,18C
0101ba-MSR758-2019-03-05-0,1690,EHAM,NA,2019-03-05T14:35:38Z,2019-03-05T17:39:14Z,FALSE,NA
020025-RAM850W-2019-03-05-0,2800,NA,EHAM,2019-03-05T11:37:20Z,2019-03-05T14:30:54Z,TRUE,18C
020025-RAM851W-2019-03-05-0,1807,EHAM,NA,2019-03-05T15:55:06Z,2019-03-05T18:53:16Z,FALSE,NA
02012b-MAC121-2019-03-05-0,2586,NA,EHAM,2019-03-05T06:10:55Z,2019-03-05T08:52:04Z,TRUE,18R
02012b-MAC122-2019-03-05-0,1897,EHAM,NA,2019-03-05T18:33:12Z,2019-03-05T20:59:44Z,FALSE,NA
02012b-MAC127-2019-03-05-0,3171,GMTT,EHAM,2019-03-05T14:33:36Z,2019-03-05T17:28:56Z,TRUE,36C
02012b-MAC128-2019-03-05-0,1907,EHAM,GMTT,2019-03-05T10:34:51Z,2019-03-05T13:16:28Z,FALSE,NA
02a190-TAR880-2019-03-05-0,3251,NA,EHAM,2019-03-05T15:05:32Z,2019-03-05T17:48:17Z,TRUE,NA
02a190-TAR881-2019-03-05-0,2182,EHAM,NA,2019-03-05T19:00:52Z,2019-03-05T21:11:37Z,FALSE,NA
04c119-KQA116-2019-03-05-0,2820,NA,EHAM,2019-03-05T10:42:01Z,2019-03-05T14:21:58Z,TRUE,18C
04c119-KQA117-2019-03-05-0,1592,EHAM,NA,2019-03-05T20:19:05Z,2019-03-05T23:03:51Z,FALSE,NA
04c15a-KQA194-2019-03-05-0,3363,FAOR,EHAM,2019-03-05T02:02:07Z,2019-03-05T05:51:18Z,TRUE,18C
04c15a-KQA195-2019-03-05-0,1683,EHAM,NA,2019-03-05T11:16:36Z,2019-03-05T14:03:17Z,FALSE,NA
06a1bd-QTR273-2019-03-05-0,2858,OTHH,EHAM,2019-03-05T08:47:10Z,2019-03-05T12:23:25Z,TRUE,NA
06a1bd-QTR274-2019-03-05-0,1673,EHAM,OTHH,2019-03-05T14:26:34Z,2019-03-05T17:11:54Z,FALSE,NA
06a1ec-QTR8203-2019-03-05-0,2521,OTHH,EHAM,2019-03-05T04:13:01Z,2019-03-05T07:40:57Z,TRUE,27
06a1ec-QTR8204-2019-03-05-0,1653,EHAM,OTHH,2019-03-05T10:07:27Z,2019-03-05T12:53:48Z,FALSE,NA
0d09e5-AMX025-2019-03-05-0,2896,LEMD,EHAM,2019-03-05T13:25:13Z,2019-03-05T15:14:26Z,TRUE,09
34258f-VLG2WE-2019-03-05-0,3322,LPPT,EHAM,2019-03-05T17:50:26Z,2019-03-05T20:30:34Z,TRUE,09
34258f-VLG8404-2019-03-05-0,2647,EHAM,EGGW,2019-03-05T06:20:41Z,2019-03-05T07:04:47Z,FALSE,NA
34258f-VLG8405-2019-03-05-0,2985,EGGW,EHAM,2019-03-05T08:10:14Z,2019-03-05T08:59:58Z,TRUE,36C
34258f-VLG8412-2019-03-05-0,1923,EHAM,LPAR,2019-03-05T14:05:13Z,2019-03-05T16:48:53Z,FALSE,NA
343148-AEA1091-2019-03-05-0,2287,LEMD,EHAM,2019-03-05T06:10:30Z,2019-03-05T08:18:52Z,TRUE,27
343148-AEA1098-2019-03-05-0,1858,EHAM,LEMD,2019-03-05T10:15:59Z,2019-03-05T12:26:22Z,FALSE,NA
343693-IBS37CG-2019-03-05-0,2498,LEMD,EHAM,2019-03-05T19:33:15Z,2019-03-05T21:39:01Z,TRUE,18R
