UID,N,ADEP,ADES,START,STOP,ARR,RWY
0101bc-MSR757-2019-05-20-0,1936,LEMD,EHAM,2019-05-20T09:04:46Z,2019-05-20T12:18:19Z,TRUE,27
0101bc-MSR758-2019-05-20-0,2824,EHAM,NA,2019-05-20T13:56:23Z,2019-05-20T17:22:14Z,FALSE,NA
020110-RAM684G-2019-05-20-0,2105,NA,EHAM,2019-05-20T15:38:47Z,2019-05-20T18:14:58Z,TRUE,36C
020113-RAM685G-2019-05-20-0,1841,EHAM,NA,2019-05-20T11:58:03Z,2019-05-20T14:18:16Z,FALSE,NA
020113-RAM686G-2019-05-20-0,2489,GMTT,EHAM,2019-05-20T08:08:57Z,2019-05-20T10:52:53Z,TRUE,36R
020145-MAC127-2019-05-20-0,3062,GMTT,EHAM,2019-05-20T16:28:21Z,2019-05-20T19:23:18Z,TRUE,27
020145-MAC128-2019-05-20-0,2697,EHAM,GMTT,2019-05-20T20:26:38Z,2019-05-20T23:16:05Z,FALSE,NA
04c11a-KQA116-2019-05-20-0,2421,NA,EHAM,2019-05-20T10:24:45Z,2019-05-20T13:37:29Z,TRUE,36R
04c11a-KQA117-2019-05-20-0,1865,EHAM,NA,2019-05-20T18:53:45Z,2019-05-20T21:47:24Z,FALSE,NA
06a080-QTR8201-2019-05-20-0,2381,OTHH,EHAM,2019-05-20T13:13:27Z,2019-05-20T16:12:48Z,TRUE,36R
06a080-QTR8202-2019-05-20-0,1880,EHAM,OTHH,2019-05-20T18:30:37Z,2019-05-20T21:27:58Z,FALSE,NA
06a13a-QTR273-2019-05-20-0,2613,OTHH,EHAM,2019-05-20T08:24:04Z,2019-05-20T11:29:21Z,TRUE,36R
06a13a-QTR274-2019-05-20-0,2385,EHAM,OTHH,2019-05-20T14:57:32Z,2019-05-20T18:18:32Z,FALSE,NA
300067-AZA109-2019-05-20-0,2405,EHAM,LIRF,2019-05-20T16:23:31Z,2019-05-20T18:22:25Z,FALSE,NA
300067-AZA74F-2019-05-20-0,2192,LIRF,EHAM,2019-05-20T13:02:18Z,2019-05-20T14:52:55Z,TRUE,27
300068-AZA107-2019-05-20-0,1960,EHAM,LIRF,2019-05-20T12:24:19Z,2019-05-20T14:19:10Z,FALSE,NA
300068-AZA108-2019-05-20-0,2577,LIRF,EHAM,2019-05-20T07:22:06Z,2019-05-20T09:21:28Z,TRUE,36R
342398-VLG2SQ-2019-05-20-0,2912,NA,EHAM,2019-05-20T16:34:05Z,2019-05-20T18:43:07Z,TRUE,27
342398-VLG359U-2019-05-20-0,1840,EHAM,NA,2019-05-20T19:56:10Z,2019-05-20T21:35:33Z,FALSE,NA
3424d5-VLG83KQ-2019-05-20-0,2201,LEBL,EHAM,2019-05-20T06:22:38Z,2019-05-20T08:08:57Z,TRUE,36C
