UID,N,ADEP,ADES,START,STOP,ARR,RWY
02a18b-TAR484-2019-05-25-0,2494,NA,LSZH,2019-05-25T13:32:34Z,2019-05-25T14:54:46Z,TRUE,14
02a18b-TAR485-2019-05-25-0,2269,LSZH,NA,2019-05-25T15:58:06Z,2019-05-25T17:42:29Z,FALSE,NA
02a195-TAR701-2019-05-25-0,2465,LSGG,LSZH,2019-05-25T11:45:42Z,2019-05-25T12:26:46Z,TRUE,14
02a195-TAR701-2019-05-25-1,3283,LSZH,NA,2019-05-25T13:14:38Z,2019-05-25T15:07:09Z,FALSE,NA
06a0e5-QTR095-2019-05-25-0,3026,OTHH,LSZH,2019-05-25T09:35:40Z,2019-05-25T12:23:47Z,TRUE,14
06a0e5-QTR096-2019-05-25-0,2672,LSZH,OTHH,2019-05-25T16:14:01Z,2019-05-25T18:43:52Z,FALSE,NA
06a0e8-QTR093-2019-05-25-0,2337,OTHH,LSZH,2019-05-25T02:35:10Z,2019-05-25T05:09:28Z,TRUE,34
06a0e8-QTR8TL-2019-05-25-0,2673,LSZH,OTHH,2019-05-25T07:27:43Z,2019-05-25T09:59:59Z,FALSE,NA
300164-AZA571-2019-05-25-0,1943,LSZH,LIRF,2019-05-25T09:17:46Z,2019-05-25T10:27:58Z,FALSE,NA
300164-AZA572-2019-05-25-0,2942,LIRF,LSZH,2019-05-25T07:01:06Z,2019-05-25T08:17:26Z,TRUE,14
3420ce-IBE34AY-2019-05-25-0,2528,LEMD,LSZH,2019-05-25T14:28:18Z,2019-05-25T16:26:56Z,TRUE,14
3420ce-IBE34VP-2019-05-25-0,2155,LSZH,LEMD,2019-05-25T17:10:00Z,2019-05-25T19:01:23Z,FALSE,NA
3423c3-IBE3476-2019-05-25-0,2292,LEMD,LSZH,2019-05-25T18:27:56Z,2019-05-25T20:19:16Z,TRUE,28
3430c3-IBE3475-2019-05-25-0,3321,LSZH,LEMD,2019-05-25T05:40:20Z,2019-05-25T07:46:25Z,FALSE,NA
343495-AEA1671-2019-05-25-0,2951,LEMD,LSZH,2019-05-25T13:56:30Z,2019-05-25T16:03:54Z,TRUE,14
343495-AEA32XW-2019-05-25-0,2316,LSZH,LEMD,2019-05-25T16:50:03Z,2019-05-25T18:38:46Z,FALSE,NA
343543-AEA76TU-2019-05-25-0,2691,LEMD,LSZH,2019-05-25T06:32:09Z,2019-05-25T08:34:23Z,TRUE,14
343543-AEA95HN-2019-05-25-0,2528,LSZH,LEMD,2019-05-25T09:41:00Z,2019-05-25T11:33:29Z,FALSE,NA
344697-VLG74NL-2019-05-25-0,2524,LSZH,NA,2019-05-25T13:29:38Z,2019-05-25T15:11:42Z,FALSE,NA
344697-VLG7515-2019-05-25-0,2449,NA,LSZH,2019-05-25T11:16:34Z,2019-05-25T12:38:20Z,TRUE,14
344698-VLG3287-2019-05-25-0,1861,LSZH,NA,2019-05-25T13:13:36Z,2019-05-25T15:21:58Z,FALSE,NA
344698-VLG73DB-2019-05-25-0,2858,LEBL,LSZH,2019-05-25T10:43:43Z,2019-05-25T12:15:12Z,TRUE,14
3451d5-VLG58QZ-2019-05-25-0,2408,LSZH,LEBL,2019-05-25T08:17:39Z,2019-05-25T09:38:40Z,FALSE,NA
3451d5-VLG6246-2019-05-25-0,3317,LEBL,LSZH,2019-05-25T05:42:13Z,2019-05-25T07:21:28Z,TRUE,14
3453ce-SXS4FA-2019-05-25-0,2346,LSZH,NA,2019-05-25T08:02:34Z,2019-05-25T09:51:55Z,FALSE,NA
3453ce-SXS6NK-2019-05-25-0,2825,NA,LSZH,2019-05-25T03:21:18Z,2019-05-25T06:05:24Z,TRUE,NA
34608c-VLG47FB-2019-05-25-0,1881,LSZH,LEBL,2019-05-25T14:38:01Z,2019-05-25T15:48:25Z,FALSE,NA
34608c-VLG62AJ-2019-05-25-0,2569,NA,LSZH,2019-05-25T10:18:06Z,2019-05-25T13:27:27Z,TRUE,28
346090-VLG8349-2019-05-25-0,2880,LSZH,NA,2019-05-25T16:09:34Z,2019-05-25T17:36:52Z,FALSE,NA
346090-VLG93JR-2019-05-25-0,3193,NA,LSZH,2019-05-25T14:01:39Z,2019-05-25T15:34:54Z,TRUE,NA
