UID,N,ADEP,ADES,START,STOP,ARR,RWY
010207-MSR757-2021-05-09-0,2878,NA,EHAM,2021-05-09T10:18:50Z,2021-05-09T12:46:57Z,TRUE,18C
010207-MSR758-2021-05-09-0,1855,EHAM,HEAZ,2021-05-09T14:12:33Z,2021-05-09T15:59:59Z,FALSE,NA
06a13a-QTR2BL-2021-05-09-0,2592,OTHH,EHAM,2021-05-09T08:24:20Z,2021-05-09T12:08:09Z,TRUE,18C
06a13a-QTR9GA-2021-05-09-0,1723,EHAM,OTHH,2021-05-09T14:38:07Z,2021-05-09T17:43:52Z,FALSE,NA
06a30a-QTR188G-2021-05-09-0,1710,EHAM,OTHH,2021-05-09T16:41:11Z,2021-05-09T19:49:15Z,FALSE,NA
06a30a-QTR8102-2021-05-09-0,2123,KORD,EHAM,2021-05-09T12:39:08Z,2021-05-09T14:22:29Z,TRUE,18C
343194-VLG2901-2021-05-09-0,2145,LEPA,EHAM,2021-05-09T11:39:25Z,2021-05-09T13:35:54Z,TRUE,18C
343194-VLG2902-2021-05-09-0,2160,EHAM,LEPA,2021-05-09T14:59:15Z,2021-05-09T17:13:03Z,FALSE,NA
344216-AEA1093-2021-05-09-0,2074,LEMD,EHAM,2021-05-09T13:30:43Z,2021-05-09T15:19:56Z,TRUE,18C
344216-AEA1094-2021-05-09-0,2025,EHAM,LEMD,2021-05-09T17:05:35Z,2021-05-09T19:37:18Z,FALSE,NA
345644-VLG33TJ-2021-05-09-0,2236,LEBL,EHAM,2021-05-09T05:26:13Z,2021-05-09T07:12:27Z,TRUE,18C
345644-VLG46LT-2021-05-09-0,2106,LEBL,EHAM,2021-05-09T16:36:43Z,2021-05-09T18:17:54Z,TRUE,18C
345644-VLG4B-2021-05-09-0,1892,EHAM,LIRF,2021-05-09T08:33:46Z,2021-05-09T10:26:25Z,FALSE,NA
345644-VLG9Y-2021-05-09-0,2125,EHAM,LEBL,2021-05-09T19:18:31Z,2021-05-09T21:18:26Z,FALSE,NA
34608c-VLG360R-2021-05-09-0,2239,EHAM,LEBL,2021-05-09T11:04:48Z,2021-05-09T13:10:58Z,FALSE,NA
34608c-VLG6292-2021-05-09-0,2638,LIRF,EHAM,2021-05-09T07:50:25Z,2021-05-09T09:52:03Z,TRUE,18C
346352-VLG1376-2021-05-09-0,2100,EHAM,LEAL,2021-05-09T12:09:49Z,2021-05-09T14:39:56Z,FALSE,NA
346352-VLG1377-2021-05-09-0,2159,LEAL,EHAM,2021-05-09T08:44:40Z,2021-05-09T10:51:20Z,TRUE,18C
346355-VLG45GN-2021-05-09-0,2131,LEMG,EHAM,2021-05-09T15:01:37Z,2021-05-09T17:20:58Z,TRUE,18C
346355-VLG66FT-2021-05-09-0,2158,EHAM,LEMG,2021-05-09T18:20:30Z,2021-05-09T21:11:04Z,FALSE,NA
394c19-AFR32RY-2021-05-09-0,2180,LFPG,EHAM,2021-05-09T05:39:54Z,2021-05-09T06:20:18Z,TRUE,18C
394c19-AFR93ZP-2021-05-09-0,2495,EHAM,LFPG,2021-05-09T07:39:56Z,2021-05-09T08:29:13Z,FALSE,NA
3950c8-AFR23GE-2021-05-09-0,2483,EHAM,LFPG,2021-05-09T16:47:26Z,2021-05-09T17:38:31Z,FALSE,NA
3950c8-AFR55CP-2021-05-09-0,2253,LFPG,EHAM,2021-05-09T14:51:30Z,2021-05-09T15:34:57Z,TRUE,18C
3950d1-AFR15AH-2021-05-09-0,2235,EHAM,LFPG,2021-05-09T12:38:13Z,2021-05-09T13:22:56Z,FALSE,NA
3950d1-AFR24DA-2021-05-09-0,2543,LFPG,EHAM,2021-05-09T10:43:18Z,2021-05-09T11:31:15Z,TRUE,18C
39b163-AFR19XP-2021-05-09-0,2168,LFML,EHAM,2021-05-09T15:45:55Z,2021-05-09T17:08:54Z,TRUE,18C
39b163-AFR69CB-2021-05-09-0,2176,EHAM,LFNZ,2021-05-09T18:35:01Z,2021-05-09T20:05:37Z,FALSE,NA
3c1baf-BCS21G-2021-05-09-0,2713,EDDP,EHAM,2021-05-09T20:26:07Z,2021-05-09T21:26:55Z,TRUE,18C
3c4dcb-DLH1ML-2021-05-09-0,2912,EDDF,EHAM,2021-05-09T07:26:14Z,2021-05-09T08:14:45Z,TRUE,18C
3c4dcb-DLH9A-2021-05-09-0,2101,EHAM,EDDF,2021-05-09T09:22:33Z,2021-05-09T10:08:54Z,FALSE,NA
3c542c-BCS5GU-2021-05-09-0,1829,EHAM,EDDP,2021-05-09T10:14:42Z,2021-05-09T11:06:39Z,FALSE,NA
3c5462-DLH4YF-2021-05-09-0,2917,EDDF,EHAM,2021-05-09T14:14:00Z,2021-05-09T15:05:19Z,TRUE,18C
3c5462-DLH8A-2021-05-09-0,2504,EHAM,EDDF,2021-05-09T16:31:49Z,2021-05-09T17:19:52Z,FALSE,NA
3c5462-DLH8ER-2021-05-09-0,3061,EDDF,EHAM,2021-05-09T19:11:00Z,2021-05-09T20:02:00Z,TRUE,18C
3c61f8-AHO347K-2021-05-09-0,1803,EHAM,LTFE,2021-05-09T06:19:19Z,2021-05-09T09:22:27Z,FALSE,NA
3c8502-MHV20Y-2021-05-09-0,2160,LEMG,EHAM,2021-05-09T11:50:49Z,2021-05-09T14:12:14Z,TRUE,22
3cc76d-ATL1D-2021-05-09-0,2036,LEPA,EHAM,2021-05-09T15:58:20Z,2021-05-09T17:59:09Z,TRUE,22
3cc76d-ATL1D-2021-05-09-1,1626,EHAM,EDDW,2021-05-09T18:29:30Z,2021-05-09T18:56:35Z,FALSE,NA
3cdb56-AHO228W-2021-05-09-0,2117,LEBL,EHAM,2021-05-09T16:54:09Z,2021-05-09T18:37:46Z,TRUE,22
3cdb5e-AHO442M-2021-05-09-0,2188,NA,EHAM,2021-05-09T12:31:49Z,2021-05-09T15:07:13Z,TRUE,22
3e3d01-ECA3C-2021-05-09-0,2256,LEGE,EHAM,2021-05-09T15:40:11Z,2021-05-09T17:28:26Z,TRUE,22
3e3d01-ECA3C-2021-05-09-1,1307,EHAM,EBAW,2021-05-09T18:28:20Z,2021-05-09T18:50:06Z,FALSE,NA
3e48e5-ECA5C-2021-05-09-0,2299,LOWG,EHAM,2021-05-09T08:20:27Z,2021-05-09T09:58:45Z,TRUE,22
3e48e5-ECA5C-2021-05-09-1,2406,EHAM,LIRA,2021-05-09T10:51:00Z,2021-05-09T12:58:29Z,FALSE,NA
4008b4-BAW41HA-2021-05-09-0,2802,EHAM,EGLL,2021-05-09T17:32:31Z,2021-05-09T18:19:12Z,FALSE,NA
4008b4-BAW440-2021-05-09-0,2222,EGLL,EHAM,2021-05-09T15:22:02Z,2021-05-09T16:03:28Z,TRUE,18C
40787f-VCG1AL-2021-05-09-0,2573,EGKB,EHAM,2021-05-09T18:07:59Z,2021-05-09T18:50:51Z,TRUE,22
40787f-VCG2AL-2021-05-09-0,2907,EHAM,EGKB,2021-05-09T19:54:04Z,2021-05-09T20:42:30Z,FALSE,NA
4240e6-ABW408-2021-05-09-0,2063,KORD,EHAM,2021-05-09T12:31:22Z,2021-05-09T14:12:06Z,TRUE,18C
4240e6-ABW408-2021-05-09-1,1746,EHAM,OMDB,2021-05-09T16:43:31Z,2021-05-09T19:53:16Z,FALSE,NA
