UID,N,ADEP,ADES,START,STOP,ARR,RWY
040171-ETH700-2020-05-08-0,2418,FAOR,EGLL,2020-05-08T03:21:20Z,2020-05-08T05:44:17Z,TRUE,27R
04c117-KQA2103-2020-05-08-0,1839,EGLL,NA,2020-05-08T07:56:29Z,2020-05-08T11:04:59Z,FALSE,NA
06a062-QTR8328-2020-05-08-0,2240,OTHH,EGLL,2020-05-08T07:37:08Z,2020-05-08T11:28:54Z,TRUE,27R
06a062-QTR8329-2020-05-08-0,1706,EGLL,OTHH,2020-05-08T13:01:42Z,2020-05-08T16:21:45Z,FALSE,NA
06a070-QTR8856-2020-05-08-0,2111,OTHH,EGLL,2020-05-08T02:56:36Z,2020-05-08T06:47:27Z,TRUE,27R
06a070-QTR8857-2020-05-08-0,1737,EGLL,OTHH,2020-05-08T08:23:34Z,2020-05-08T11:45:02Z,FALSE,NA
06a083-QTR8866-2020-05-08-0,2135,OTHH,EGLL,2020-05-08T15:53:58Z,2020-05-08T19:55:27Z,TRUE,27R
06a083-QTR8867-2020-05-08-0,1764,EGLL,OTHH,2020-05-08T21:15:22Z,2020-05-08T23:59:59Z,FALSE,NA
06a120-QTR009-2020-05-08-0,2208,OTHH,EGLL,2020-05-08T01:38:48Z,2020-05-08T05:41:50Z,TRUE,27R
06a120-QTR7GU-2020-05-08-0,1749,EGLL,OTHH,2020-05-08T07:26:21Z,2020-05-08T10:52:55Z,FALSE,NA
06a12c-QTR3EM-2020-05-08-0,2175,OTHH,EGLL,2020-05-08T07:41:30Z,2020-05-08T11:42:12Z,TRUE,27R
06a12c-QTR6KG-2020-05-08-0,1756,EGLL,OTHH,2020-05-08T13:35:14Z,2020-05-08T16:57:32Z,FALSE,NA
06a2b1-QTR8850-2020-05-08-0,2100,OTHH,EGLL,2020-05-08T13:34:15Z,2020-05-08T17:29:17Z,TRUE,27R
06a2b1-QTR8851-2020-05-08-0,1679,EGLL,OTHH,2020-05-08T18:56:42Z,2020-05-08T22:17:48Z,FALSE,NA
06e00f-RWD700-2020-05-08-0,1991,NA,EGLL,2020-05-08T06:36:16Z,2020-05-08T08:40:12Z,TRUE,27R
06e00f-RWD700-2020-05-08-1,2309,EGLL,EBBR,2020-05-08T15:15:30Z,2020-05-08T15:53:58Z,FALSE,NA
3440ce-PLM344-2020-05-08-0,2022,LGAV,EGLL,2020-05-08T13:17:07Z,2020-05-08T16:34:59Z,TRUE,27R
3440ce-PLM345P-2020-05-08-0,1903,EGLL,LEMD,2020-05-08T18:46:04Z,2020-05-08T20:36:45Z,FALSE,NA
3c542a-BCS2217-2020-05-08-0,1803,EGLL,EDDP,2020-05-08T21:17:26Z,2020-05-08T22:28:03Z,FALSE,NA
3c542a-BCS35P-2020-05-08-0,2037,LIMC,EGLL,2020-05-08T17:54:36Z,2020-05-08T19:15:26Z,TRUE,27R
3c65cb-DLH3U-2020-05-08-0,1758,EGLL,EDDF,2020-05-08T15:38:13Z,2020-05-08T16:39:11Z,FALSE,NA
3c65cb-DLH8HR-2020-05-08-0,2179,EDDF,EGLL,2020-05-08T12:08:38Z,2020-05-08T13:16:59Z,TRUE,27R
3c65cd-DLH5AF-2020-05-08-0,2646,EDDF,EGLL,2020-05-08T05:55:47Z,2020-05-08T07:19:29Z,TRUE,27R
3c65cd-DLH9U-2020-05-08-0,1738,EGLL,EDDF,2020-05-08T08:31:02Z,2020-05-08T09:34:28Z,FALSE,NA
400690-BAW9155-2020-05-08-0,1890,EGLL,NA,2020-05-08T06:56:09Z,2020-05-08T09:12:28Z,FALSE,NA
400690-BAW9156-2020-05-08-0,2029,NA,EGLL,2020-05-08T20:44:17Z,2020-05-08T22:50:31Z,TRUE,09L
4007ef-BAW9151-2020-05-08-0,1854,EGLL,NA,2020-05-08T21:45:34Z,2020-05-08T23:59:59Z,FALSE,NA
4007f1-BAW9115-2020-05-08-0,2564,NA,EGLL,2020-05-08T14:44:14Z,2020-05-08T18:40:47Z,TRUE,27R
4007f3-BAW64-2020-05-08-0,2180,NA,EGLL,2020-05-08T01:37:20Z,2020-05-08T05:30:51Z,TRUE,27R
4007f4-BAW117-2020-05-08-0,1864,EGLL,KJFK,2020-05-08T11:50:53Z,2020-05-08T13:07:58Z,FALSE,NA
4007f5-BAW172-2020-05-08-0,2376,KJFK,EGLL,2020-05-08T05:45:34Z,2020-05-08T06:58:21Z,TRUE,27R
4007f5-BAW173-2020-05-08-0,1839,EGLL,KJFK,2020-05-08T11:14:01Z,2020-05-08T12:38:08Z,FALSE,NA
4007f7-BAW33K-2020-05-08-0,1849,EGLL,KJFK,2020-05-08T14:40:53Z,2020-05-08T15:59:52Z,FALSE,NA
4007f9-BAW14K-2020-05-08-0,2259,KJFK,EGLL,2020-05-08T05:10:39Z,2020-05-08T06:20:41Z,TRUE,27R
4008ad-SHT8R-2020-05-08-0,2028,EGLL,EGPH,2020-05-08T10:44:07Z,2020-05-08T11:31:29Z,FALSE,NA
4008ad-SHT9J-2020-05-08-0,2422,EGPH,EGLL,2020-05-08T12:57:38Z,2020-05-08T13:53:07Z,TRUE,27R
40093e-SHT18LA-2020-05-08-0,1968,EGLL,NA,2020-05-08T07:55:10Z,2020-05-08T08:47:48Z,FALSE,NA
40093e-SHT19M-2020-05-08-0,2287,NA,EGLL,2020-05-08T10:13:29Z,2020-05-08T11:15:50Z,TRUE,27R
400f99-BAW9271-2020-05-08-0,776,EGLL,EGKR,2020-05-08T13:39:54Z,2020-05-08T13:52:49Z,FALSE,NA
405bfc-BAW31-2020-05-08-0,1828,EGLL,VHHH,2020-05-08T17:48:04Z,2020-05-08T20:36:18Z,FALSE,NA
405bfc-BAW32-2020-05-08-0,2166,VHHH,EGLL,2020-05-08T00:00:01Z,2020-05-08T03:40:13Z,TRUE,27R
40621b-BAW28-2020-05-08-0,2193,VHHH,EGLL,2020-05-08T00:00:01Z,2020-05-08T04:03:17Z,TRUE,27R
40641d-VIR807P-2020-05-08-0,1847,EGLL,EGCN,2020-05-08T13:32:56Z,2020-05-08T14:03:42Z,FALSE,NA
406590-BAW27-2020-05-08-0,1701,EGLL,VHHH,2020-05-08T13:15:06Z,2020-05-08T16:45:01Z,FALSE,NA
406591-BAW169-2020-05-08-0,1725,EGLL,NA,2020-05-08T14:38:56Z,2020-05-08T17:24:44Z,FALSE,NA
4065de-BAW55-2020-05-08-0,1786,EGLL,FABA,2020-05-08T18:16:03Z,2020-05-08T20:31:24Z,FALSE,NA
4065de-BAW88-2020-05-08-0,2035,NA,EGLL,2020-05-08T10:45:49Z,2020-05-08T13:47:23Z,TRUE,27R
4066ab-VIR803P-2020-05-08-0,1974,EGLL,EGCN,2020-05-08T11:12:48Z,2020-05-08T11:45:41Z,FALSE,NA
406891-BAW18-2020-05-08-0,1962,NA,EGLL,2020-05-08T08:19:13Z,2020-05-08T12:30:42Z,TRUE,27R
406947-BAW89-2020-05-08-0,1694,EGLL,NA,2020-05-08T15:49:17Z,2020-05-08T18:35:55Z,FALSE,NA
406948-BAW160-2020-05-08-0,2033,NA,EGLL,2020-05-08T14:13:59Z,2020-05-08T18:31:45Z,TRUE,27R
406a34-BAW56-2020-05-08-0,2129,FAGC,EGLL,2020-05-08T15:40:24Z,2020-05-08T17:44:57Z,TRUE,27R
406a9e-BAW192-2020-05-08-0,2252,KDFW,EGLL,2020-05-08T09:37:13Z,2020-05-08T10:46:44Z,TRUE,27R
406a9f-BAW193-2020-05-08-0,1915,EGLL,KDFW,2020-05-08T14:43:45Z,2020-05-08T15:59:59Z,FALSE,NA
406b05-BAW168-2020-05-08-0,1972,NA,EGLL,2020-05-08T10:37:04Z,2020-05-08T14:52:17Z,TRUE,27R
406b0a-BAW161-2020-05-08-0,1696,EGLL,NA,2020-05-08T17:25:03Z,2020-05-08T20:10:41Z,FALSE,NA
406c3a-VIR206-2020-05-08-0,1713,EGLL,VHHH,2020-05-08T20:48:38Z,2020-05-08T23:59:59Z,FALSE,NA
406d4d-VIR606N-2020-05-08-0,2155,KJFK,EGLL,2020-05-08T03:43:38Z,2020-05-08T05:04:22Z,TRUE,27R
406d70-TOM982-2020-05-08-0,2155,NA,EGLL,2020-05-08T06:32:33Z,2020-05-08T07:40:24Z,TRUE,27R
