UID,N,ADEP,ADES,START,STOP,ARR,RWY
00b1fa-SAA234-2020-03-10-0,3710,FAGC,EGLL,2020-03-10T04:11:00Z,2020-03-10T07:02:19Z,TRUE,27L
00b1fa-SAA235-2020-03-10-0,1752,EGLL,FAGM,2020-03-10T17:58:05Z,2020-03-10T19:59:59Z,FALSE,NA
01012a-MSR777-2020-03-10-0,3701,NA,EGLL,2020-03-10T08:25:50Z,2020-03-10T12:36:27Z,TRUE,27L
01012a-MSR778-2020-03-10-0,1511,EGLL,NA,2020-03-10T14:31:19Z,2020-03-10T16:30:14Z,FALSE,NA
0101b8-MSR779-2020-03-10-0,2461,OMDB,EGLL,2020-03-10T18:07:40Z,2020-03-10T20:40:52Z,TRUE,27R
018078-LAA003-2020-03-10-0,2677,NA,EGLL,2020-03-10T13:22:43Z,2020-03-10T16:41:57Z,TRUE,27R
018078-LAA003-2020-03-10-1,1658,EGLL,NA,2020-03-10T17:47:07Z,2020-03-10T20:30:10Z,FALSE,NA
020112-RAM804-2020-03-10-0,2625,GMME,EGLL,2020-03-10T14:58:45Z,2020-03-10T17:45:52Z,TRUE,27R
020112-RAM805-2020-03-10-0,2056,EGLL,NA,2020-03-10T19:06:13Z,2020-03-10T21:31:28Z,FALSE,NA
02a186-TAR790-2020-03-10-0,2644,NA,EGLL,2020-03-10T13:44:09Z,2020-03-10T16:35:43Z,TRUE,NA
040134-ETH700-2020-03-10-0,4048,NA,EGLL,2020-03-10T02:36:06Z,2020-03-10T06:40:24Z,TRUE,27L
040134-ETH701-2020-03-10-0,1694,EGLL,NA,2020-03-10T20:29:09Z,2020-03-10T23:33:40Z,FALSE,NA
04c11b-KQA100-2020-03-10-0,2960,FAOR,EGLL,2020-03-10T11:20:56Z,2020-03-10T15:14:04Z,TRUE,27R
04c11b-KQA101-2020-03-10-0,1653,EGLL,FABA,2020-03-10T17:35:50Z,2020-03-10T20:49:17Z,FALSE,NA
06a00f-QAF4-2020-03-10-0,1685,EGLL,OTBD,2020-03-10T10:29:03Z,2020-03-10T14:05:32Z,FALSE,NA
06a0eb-QTR8FV-2020-03-10-0,2873,OTHH,EGLL,2020-03-10T17:27:43Z,2020-03-10T21:43:15Z,TRUE,27R
06a10e-QTR6BZ-2020-03-10-0,1706,EGLL,OTHH,2020-03-10T08:20:34Z,2020-03-10T11:44:39Z,FALSE,NA
06a11f-QTR4LA-2020-03-10-0,3914,OTHH,EGLL,2020-03-10T09:00:23Z,2020-03-10T13:08:59Z,TRUE,27L
06a11f-QTR7PR-2020-03-10-0,1581,EGLL,OTHH,2020-03-10T15:25:25Z,2020-03-10T18:46:26Z,FALSE,NA
06a144-QTR1QL-2020-03-10-0,1646,EGLL,OTHH,2020-03-10T14:42:01Z,2020-03-10T18:08:01Z,FALSE,NA
06a144-QTR1VU-2020-03-10-0,3879,OTHH,EGLL,2020-03-10T08:15:01Z,2020-03-10T12:19:08Z,TRUE,27L
06a14b-QTR010-2020-03-10-0,1654,EGLL,OTHH,2020-03-10T09:26:30Z,2020-03-10T12:56:29Z,FALSE,NA
06a14b-QTR5DR-2020-03-10-0,3809,OTHH,EGLL,2020-03-10T02:04:22Z,2020-03-10T06:21:19Z,TRUE,27L
06a1bb-QTR1RJ-2020-03-10-0,1516,EGLL,OTHH,2020-03-10T22:21:48Z,2020-03-10T23:59:59Z,FALSE,NA
06a1bb-QTR5CF-2020-03-10-0,2910,OTHH,EGLL,2020-03-10T16:02:52Z,2020-03-10T20:07:59Z,TRUE,27R
06a2b2-QTR3WM-2020-03-10-0,1583,EGLL,OTHH,2020-03-10T20:35:29Z,2020-03-10T23:53:22Z,FALSE,NA
06a2b2-QTR5AT-2020-03-10-0,2987,OTHH,EGLL,2020-03-10T13:14:04Z,2020-03-10T17:17:59Z,TRUE,27R
0a008c-DAH2054-2020-03-10-0,3580,DAAG,EGLL,2020-03-10T09:41:31Z,2020-03-10T12:38:17Z,TRUE,27L
0a008c-DAH2055-2020-03-10-0,1756,EGLL,DAAG,2020-03-10T14:26:52Z,2020-03-10T16:28:18Z,FALSE,NA
34150e-IBE3170-2020-03-10-0,3596,LEMD,EGLL,2020-03-10T06:10:16Z,2020-03-10T08:24:46Z,TRUE,27L
34150e-IBE3171-2020-03-10-0,2051,EGLL,LEMD,2020-03-10T17:24:35Z,2020-03-10T19:17:39Z,FALSE,NA
34150e-IBE31VK-2020-03-10-0,2562,LEMD,EGLL,2020-03-10T14:01:50Z,2020-03-10T15:55:46Z,TRUE,27R
34150e-IBE31WT-2020-03-10-0,2009,EGLL,LEMD,2020-03-10T09:48:01Z,2020-03-10T11:43:51Z,FALSE,NA
342091-IBE31BZ-2020-03-10-0,2035,EGLL,LEMD,2020-03-10T15:50:54Z,2020-03-10T17:48:29Z,FALSE,NA
342091-IBE31YP-2020-03-10-0,3073,LEMD,EGLL,2020-03-10T12:26:53Z,2020-03-10T14:29:55Z,TRUE,27L
3423c3-IBE31BB-2020-03-10-0,1929,EGLL,LEMD,2020-03-10T11:51:53Z,2020-03-10T13:54:26Z,FALSE,NA
3423c3-IBE31GK-2020-03-10-0,3878,LEMD,EGLL,2020-03-10T08:32:39Z,2020-03-10T10:50:24Z,TRUE,27L
3444cf-VLG7104-2020-03-10-0,2734,NA,EGLL,2020-03-10T17:54:07Z,2020-03-10T19:01:11Z,TRUE,27R
3444cf-VLG7105-2020-03-10-0,1975,EGLL,NA,2020-03-10T20:38:11Z,2020-03-10T21:36:09Z,FALSE,NA
3445d4-IBE3180-2020-03-10-0,2760,LEMD,EGLL,2020-03-10T16:07:48Z,2020-03-10T18:02:57Z,TRUE,27R
3445d4-IBE31AA-2020-03-10-0,3653,LEMD,EGLL,2020-03-10T07:47:38Z,2020-03-10T10:02:24Z,TRUE,27L
3445d4-IBE31CM-2020-03-10-0,2612,EGLL,LEMD,2020-03-10T11:13:37Z,2020-03-10T13:17:57Z,FALSE,NA
3445d4-IBE31VZ-2020-03-10-0,2033,EGLL,LEMD,2020-03-10T19:34:54Z,2020-03-10T21:30:59Z,FALSE,NA
34508a-IBE31CB-2020-03-10-0,1991,EGLL,LEMD,2020-03-10T18:55:05Z,2020-03-10T20:47:07Z,FALSE,NA
34508a-IBE31DP-2020-03-10-0,2726,LEMD,EGLL,2020-03-10T15:38:37Z,2020-03-10T17:33:56Z,TRUE,27R
