UID,ARR,RWY,THR_TIME,C40_TIME,C40_BRG,C40_LAT,C40_LON,C40_ALT,C40_DIST,C40_OFFSET,C50_TIME,C50_BRG,C50_LAT,C50_LON,C50_ALT,C50_DIST,C50_OFFSET,C100_TIME,C100_BRG,C100_LAT,C100_LON,C100_ALT,C100_DIST,C100_OFFSET
06a0e6-QTR095-2019-05-17-0,TRUE,14,2019-05-17T12:16:25Z,2019-05-17T11:59:54Z,66.51989484206155,47.72286987304688,9.45208740234375,17775,74002.87935633396,77.12064366604318,2019-05-17T11:58:06Z,70.86993182520848,47.73042297363281,9.7126007080078125,20500,92537.16650972335,62.83349027665099,2019-05-17T11:49:34Z,82.63695293818546,47.67123413085938,10.99353790283203,32000,185212.8263554485,12.826355448487448
06a0e9-QTR093-2019-05-17-0,TRUE,34,2019-05-17T05:03:59Z,2019-05-17T04:51:21Z,82.88776041518105,47.5404052734375,9.5255584716796875,14000,74089.30197536787,9.301975367867271,2019-05-17T04:49:46Z,78.86346505570219,47.61882019042969,9.75812530517578,17600,92686.81382043734,86.81382043733902,2019-05-17T04:42:37Z,83.11277075971168,47.65740966796875,10.99436187744141,29575,185107.45956364277,92.54043635723065
3420ce-IBE3476-2019-05-17-0,TRUE,28,2019-05-17T20:09:03Z,2019-05-17T19:50:33Z,224.5707313441206,46.98422241210938,7.860786437988281,16475,74033.75477262134,46.245227378662094,2019-05-17T19:48:42Z,225.83447356401396,46.87819658699682,7.669935960036057,17750,92636.66689883979,36.66689883978688,2019-05-17T19:40:51Z,228.15115190609532,46.3480224609375,6.734016232374239,26050,185199.86176788103,0.13823211897397414
342195-VLG21QR-2019-05-17-0,TRUE,14,2019-05-17T13:17:52Z,2019-05-17T13:03:40Z,235.69347358631524,47.08259582519531,7.737155914306641,16175,74144.99615637765,64.9961563776451,2019-05-17T13:02:01Z,231.85062233650436,46.944068003509,7.585003192608172,19875,92616.16454583245,16.16454583244922,2019-05-17T12:53:53Z,215.72030452908348,46.10808291677701,7.130264282226562,28025,185089.7430446304,110.25695536960848
34260e-IBE34AY-2019-05-17-0,TRUE,14,2019-05-17T15:50:51Z,2019-05-17T15:35:56Z,224.69183745330494,46.98504638671875,7.85906982421875,17475,74059.37351105148,20.626488948517363,2019-05-17T15:34:18Z,226.06965166378998,46.88099670410156,7.666946411132812,20100,92581.30638166938,18.693618330624304,2019-05-17T15:26:56Z,227.42659407568385,46.33236694335938,6.754850061928354,29625,185211.87279279932,11.872792799316812
34264a-IBE3464-2019-05-17-0,TRUE,14,2019-05-17T08:48:08Z,2019-05-17T08:30:42Z,231.8610886445429,47.04643249511719,7.775779724121094,17500,74186.3850705451,106.3850705451041,2019-05-17T08:29:05Z,231.81458026051624,46.94392834679555,7.585989145132211,19750,92567.22033406573,32.77966593427118,2019-05-17T08:21:43Z,231.3699701704149,46.41909981420484,6.643925662157012,26690,185245.89767475994,45.89767475993722
343542-AEA1671-2019-05-17-0,TRUE,14,2019-05-17T15:06:33Z,2019-05-17T14:42:42Z,231.86829476382243,47.04753112792969,7.777633666992188,17875,74000.2080770294,79.79192297060217,2019-05-17T14:40:44Z,231.80311723955452,46.94412231445312,7.586746215820312,20175,92508.76419195998,91.2358080400154,2019-05-17T14:33:22Z,231.3908943653774,46.42002946239407,6.644187927246094,23775,185164.7629167959,35.237083204090595
343542-AEA76TU-2019-05-17-0,TRUE,14,2019-05-17T08:29:20Z,2019-05-17T08:05:04Z,231.87087993700789,47.04698181152344,7.776535034179688,19475,74103.49854580525,23.498545805254253,2019-05-17T08:03:07Z,231.80881123900738,46.94352722167969,7.585441589355469,21425,92627.59133463357,27.591334633572842,2019-05-17T07:55:28Z,227.30539254089467,46.32920604641154,6.757484436035156,29025,185305.71179796456,105.71179796455544
344158-VLG306Z-2019-05-17-0,TRUE,14,2019-05-17T17:32:10Z,2019-05-17T17:15:38Z,219.35507108020033,46.94316101074219,7.926567077636719,17950,74119.4521401097,39.45214010970085,2019-05-17T17:14:08Z,218.81837789054381,46.80958557128906,7.78113388433689,21750,92642.09024132455,42.090241324549424,2019-05-17T17:06:33Z,213.79015199684778,46.07540324582892,7.1971435546875,28600,185190.42778060646,9.572219393536216
3443d4-VLG6246-2019-05-17-0,TRUE,14,2019-05-17T06:57:39Z,2019-05-17T06:43:50Z,231.9189754162533,47.04718121027542,7.775573730468749,18075,74146.86927702116,66.86927702116373,2019-05-17T06:42:20Z,231.8461220406592,46.94462663036282,7.586200420673077,21800,92506.24549760553,93.75450239446945,2019-05-17T06:34:37Z,226.70349611893423,46.31756798695709,6.77691650390625,25700,185118.7528087609,81.24719123909017
