UID,N,ADEP,ADES,START,STOP,ARR,RWY
06a0e6-QTR095-2019-05-27-0,2396,OTHH,LSZH,2019-05-27T10:21:46Z,2019-05-27T12:00:48Z,TRUE,14
06a0e6-QTR096-2019-05-27-0,3161,LSZH,OTHH,2019-05-27T16:10:01Z,2019-05-27T18:59:04Z,FALSE,NA
06a10d-QTR093-2019-05-27-0,2339,OTHH,LSZH,2019-05-27T03:04:37Z,2019-05-27T04:53:28Z,TRUE,34
06a10d-QTR8TL-2019-05-27-0,2876,LSZH,OTHH,2019-05-27T07:21:18Z,2019-05-27T10:06:01Z,FALSE,NA
341646-IBE3475-2019-05-27-0,2324,LSZH,LEMD,2019-05-27T05:46:59Z,2019-05-27T07:38:58Z,FALSE,NA
3420ce-IBE3464-2019-05-27-0,3086,LEMD,LSZH,2019-05-27T07:19:38Z,2019-05-27T09:28:28Z,TRUE,NA
3420ce-IBE34GZ-2019-05-27-0,2295,LSZH,LEMD,2019-05-27T10:21:48Z,2019-05-27T12:13:42Z,FALSE,NA
342396-VLG13PT-2019-05-27-0,2816,LEAL,LSZH,2019-05-27T08:49:12Z,2019-05-27T10:51:19Z,TRUE,14
342396-VLG47VN-2019-05-27-0,2905,LSZH,LEMU,2019-05-27T11:31:34Z,2019-05-27T13:30:19Z,FALSE,NA
34260e-IBE3476-2019-05-27-0,2206,LEMD,LSZH,2019-05-27T18:17:09Z,2019-05-27T20:01:12Z,TRUE,28
343046-VLG58QZ-2019-05-27-0,2534,LSZH,LEBL,2019-05-27T07:57:01Z,2019-05-27T09:18:29Z,FALSE,NA
343046-VLG6246-2019-05-27-0,2565,NA,LSZH,2019-05-27T05:49:11Z,2019-05-27T07:17:25Z,TRUE,14
343543-AEA1671-2019-05-27-0,2717,LEMD,LSZH,2019-05-27T13:12:03Z,2019-05-27T15:06:47Z,TRUE,14
343543-AEA32XW-2019-05-27-0,2428,LSZH,LEMD,2019-05-27T16:33:31Z,2019-05-27T18:31:58Z,FALSE,NA
343543-AEA76TU-2019-05-27-0,2789,LEMD,LSZH,2019-05-27T06:34:51Z,2019-05-27T08:29:59Z,TRUE,14
343543-AEA95HN-2019-05-27-0,2473,LSZH,LEMD,2019-05-27T09:23:06Z,2019-05-27T11:21:53Z,FALSE,NA
3443d1-VLG8349-2019-05-27-0,2193,LSZH,NA,2019-05-27T11:49:05Z,2019-05-27T13:00:53Z,FALSE,NA
3443d1-VLG93JR-2019-05-27-0,2672,NA,LSZH,2019-05-27T09:29:01Z,2019-05-27T11:01:18Z,TRUE,14
34508b-IBE34AY-2019-05-27-0,2449,LEMD,LSZH,2019-05-27T14:03:41Z,2019-05-27T15:52:59Z,TRUE,14
34508b-IBE34VP-2019-05-27-0,2607,LSZH,LEMD,2019-05-27T16:33:08Z,2019-05-27T18:36:19Z,FALSE,NA
345646-VLG306Z-2019-05-27-0,2750,NA,LSZH,2019-05-27T16:07:05Z,2019-05-27T17:34:58Z,TRUE,14
345646-VLG64JB-2019-05-27-0,2306,LSZH,LEBL,2019-05-27T18:25:01Z,2019-05-27T19:45:24Z,FALSE,NA
3944f2-AFR56VZ-2019-05-27-0,2704,LSZH,LFPG,2019-05-27T13:02:08Z,2019-05-27T14:01:13Z,FALSE,NA
3944f2-AFR61GR-2019-05-27-0,2473,LFPG,LSZH,2019-05-27T11:06:07Z,2019-05-27T12:00:27Z,TRUE,14
3946eb-AFR28NJ-2019-05-27-0,2176,LFPG,LSZH,2019-05-27T05:46:38Z,2019-05-27T06:36:26Z,TRUE,14
3946eb-AFR93QH-2019-05-27-0,2060,LSZH,LFPG,2019-05-27T07:46:11Z,2019-05-27T08:35:08Z,FALSE,NA
3950c3-AFR141G-2019-05-27-0,2344,LFPG,LSZH,2019-05-27T19:31:24Z,2019-05-27T20:23:34Z,TRUE,28
3950c3-AFR181J-2019-05-27-0,3212,LSZH,LFPG,2019-05-27T16:20:01Z,2019-05-27T17:29:29Z,FALSE,NA
3950c3-AFR35RX-2019-05-27-0,2416,LFPG,LSZH,2019-05-27T14:41:40Z,2019-05-27T15:34:58Z,TRUE,14
3950c6-AFR65CE-2019-05-27-0,2482,LSZH,LFPG,2019-05-27T06:01:56Z,2019-05-27T06:58:44Z,FALSE,NA
39c8a9-ASJ249-2019-05-27-0,2594,ELLX,LSZH,2019-05-27T06:52:06Z,2019-05-27T07:35:19Z,TRUE,14
39c8a9-ASJ249-2019-05-27-1,2059,LSZH,LFPB,2019-05-27T08:03:40Z,2019-05-27T08:54:38Z,FALSE,NA
3c4d67-DLH2CL-2019-05-27-0,2182,LSZH,EDDM,2019-05-27T18:06:33Z,2019-05-27T18:42:54Z,FALSE,NA
3c4d67-DLH5RV-2019-05-27-0,1918,EDDM,LSZH,2019-05-27T16:50:00Z,2019-05-27T17:21:57Z,TRUE,14
3c5462-DLH8C-2019-05-27-0,2650,LSZH,EDDF,2019-05-27T17:25:07Z,2019-05-27T18:09:16Z,FALSE,NA
3c5462-DLH8NJ-2019-05-27-0,2148,EDDF,LSZH,2019-05-27T11:15:38Z,2019-05-27T11:51:25Z,TRUE,14
3c5462-DLH9C-2019-05-27-0,2726,LSZH,EDDF,2019-05-27T13:03:31Z,2019-05-27T13:48:56Z,FALSE,NA
3c5462-DLH9KA-2019-05-27-0,1976,EDDF,LSZH,2019-05-27T15:03:34Z,2019-05-27T15:36:29Z,TRUE,14
3c5464-DLH1C-2019-05-27-0,3222,LSZH,EDDF,2019-05-27T07:40:09Z,2019-05-27T08:33:50Z,FALSE,NA
3c5464-DLH5TV-2019-05-27-0,2325,EDDF,LSZH,2019-05-27T05:55:43Z,2019-05-27T06:34:27Z,TRUE,14
3c56e7-EWG15Z-2019-05-27-0,2525,EDDH,LSZH,2019-05-27T11:35:43Z,2019-05-27T12:48:26Z,TRUE,14
3c56e7-EWG9FR-2019-05-27-0,2776,LSZH,EDDH,2019-05-27T13:42:33Z,2019-05-27T15:00:52Z,FALSE,NA
3c56f0-EWG74T-2019-05-27-0,2549,LSZH,EDDL,2019-05-27T18:58:34Z,2019-05-27T19:56:08Z,FALSE,NA
3c56f0-EWG7ME-2019-05-27-0,2558,EDDL,LSZH,2019-05-27T17:22:02Z,2019-05-27T18:17:29Z,TRUE,14
3c56f5-EWG2T-2019-05-27-0,2964,EDDH,LSZH,2019-05-27T04:57:45Z,2019-05-27T06:16:48Z,TRUE,14
3c56f5-EWG6NL-2019-05-27-0,2937,LSZH,EDDH,2019-05-27T07:07:16Z,2019-05-27T08:30:24Z,FALSE,NA
3c5853-AHO477C-2019-05-27-0,2280,LOWL,LSZH,2019-05-27T14:20:27Z,2019-05-27T15:06:26Z,TRUE,14
3c5853-AHO477C-2019-05-27-1,2115,LSZH,EGLF,2019-05-27T16:38:57Z,2019-05-27T17:59:21Z,FALSE,NA
