,callsign,stop,ILS_max
0,QTR2BL,2021-05-11 11:31:25+00:00,36R
1,QTR46TM,2021-05-11 08:33:46+00:00,06
2,VLG33TJ,2021-05-11 12:13:30+00:00,06
3,AFR55CP,2021-05-11 15:41:46+00:00,06
4,AFR32RY,2021-05-11 06:16:15+00:00,06
5,AFR24DA,2021-05-11 11:17:53+00:00,06
6,DLH1ML,2021-05-11 07:55:14+00:00,06
7,HHN943,2021-05-11 12:42:50+00:00,36R
8,AHO353Z,2021-05-11 18:20:41+00:00,22
9,AWU911K,2021-05-11 08:20:56+00:00,36R
10,BCS1443,2021-05-11 17:56:43+00:00,06
11,ABW208,2021-05-11 13:17:55+00:00,18C
12,ABW253,2021-05-11 15:53:36+00:00,06
13,IJM011,2021-05-11 14:57:43+00:00,27
14,IJM613,2021-05-11 05:52:11+00:00,36R
15,AUA3TC,2021-05-11 16:45:43+00:00,06
16,TFL462,2021-05-11 15:32:29+00:00,06
17,TFL596,2021-05-11 14:18:04+00:00,27
18,OOXLS,2021-05-11 09:07:48+00:00,36R
19,BCS15Q,2021-05-11 23:48:11+00:00,18C
20,OYRSE,2021-05-11 16:36:13+00:00,22
21,FIN47U,2021-05-11 07:23:20+00:00,06
22,FSF100A,2021-05-11 18:01:54+00:00,06
23,KLM1008,2021-05-11 09:53:49+00:00,06
24,KLM1350,2021-05-11 05:32:40+00:00,06
25,KLM1628,2021-05-11 06:09:09+00:00,06
26,KLM462,2021-05-11 06:30:18+00:00,36R
27,MPH8372,2021-05-11 05:20:47+00:00,06
28,MPH6516,2021-05-11 11:11:29+00:00,06
29,KLM142,2021-05-11 12:27:52+00:00,06
30,KLM590,2021-05-11 04:07:31+00:00,06
31,KLM736,2021-05-11 09:06:26+00:00,06
32,KLM104,2021-05-11 08:01:14+00:00,06
33,KLM832,2021-05-11 03:11:12+00:00,06
34,KLM419,2021-05-11 06:03:53+00:00,36R
35,KLM538,2021-05-11 04:36:20+00:00,06
36,KLM868,2021-05-11 12:57:27+00:00,18C
37,KLM771,2021-05-11 07:32:55+00:00,06
38,KLM789,2021-05-11 05:51:21+00:00,06
39,KLM1074,2021-05-11 11:07:19+00:00,06
40,KLM38P,2021-05-11 09:15:02+00:00,06
41,KLM50G,2021-05-11 05:59:08+00:00,06
42,KLM18C,2021-05-11 13:01:58+00:00,18C
43,KLM20P,2021-05-11 17:44:26+00:00,06
44,KLM68T,2021-05-11 06:13:03+00:00,06
45,KLM428,2021-05-11 03:50:56+00:00,06
46,KLM744,2021-05-11 13:04:48+00:00,18C
47,KLM792,2021-05-11 08:58:59+00:00,06
48,NCG01,2021-05-11 14:24:24+00:00,22
49,XRO197,2021-05-11 15:33:34+00:00,36R
50,KLM18S,2021-05-11 06:01:29+00:00,06
51,KLM22B,2021-05-11 13:10:10+00:00,18C
52,ZXP25,2021-05-11 08:09:23+00:00,36R
53,KLM54E,2021-05-11 06:23:14+00:00,36R
54,KLM98Q,2021-05-11 13:14:49+00:00,18C
55,TRA535J,2021-05-11 20:36:11+00:00,18C
56,KLM84X,2021-05-11 05:11:48+00:00,06
57,TRA40H,2021-05-11 21:59:16+00:00,18C
58,KLM1000,2021-05-11 06:11:11+00:00,06
59,KLM59W,2021-05-11 17:03:05+00:00,06
60,KLM1624,2021-05-11 17:32:44+00:00,06
61,KLM1652,2021-05-11 11:08:02+00:00,36R
62,KLM22A,2021-05-11 05:57:29+00:00,06
63,KLM92T,2021-05-11 07:08:25+00:00,06
64,TRA36B,2021-05-11 15:09:35+00:00,06
65,KLM40M,2021-05-11 05:36:37+00:00,06
66,KLM46A,2021-05-11 16:30:53+00:00,06
67,KLM38W,2021-05-11 13:40:22+00:00,18C
68,KLM1596,2021-05-11 06:32:19+00:00,06
69,KLM1602,2021-05-11 12:41:05+00:00,06
70,KLM878,2021-05-11 05:46:44+00:00,36R
71,KLM753,2021-05-11 10:11:22+00:00,06
72,KLM844,2021-05-11 04:38:44+00:00,06
73,KLM1942,2021-05-11 16:32:40+00:00,06
74,KLM88M,2021-05-11 05:59:05+00:00,36R
75,KLM26V,2021-05-11 17:22:59+00:00,06
76,KLM60C,2021-05-11 06:06:10+00:00,36R
77,KLM1614,2021-05-11 17:05:15+00:00,06
78,KLM84L,2021-05-11 06:34:54+00:00,06
79,KLM1386,2021-05-11 13:44:33+00:00,18C
80,KLM642,2021-05-11 05:18:48+00:00,06
81,KLM268,2021-05-11 04:25:52+00:00,06
82,KLM18G,2021-05-11 11:33:45+00:00,36R
83,KLM34Z,2021-05-11 04:41:53+00:00,06
84,KLM1762,2021-05-11 05:41:13+00:00,36R
85,KLM36G,2021-05-11 12:25:23+00:00,06
86,KLM988,2021-05-11 09:34:15+00:00,06
87,KLM1916,2021-05-11 05:53:47+00:00,36R
88,KLM24T,2021-05-11 11:09:48+00:00,36R
89,KLM28Q,2021-05-11 06:08:32+00:00,36R
90,KLM592,2021-05-11 07:48:57+00:00,06
91,KLM168,2021-05-11 10:30:10+00:00,06
92,KLM569,2021-05-11 04:43:48+00:00,06
93,KLM678,2021-05-11 05:08:30+00:00,06
94,KLM838,2021-05-11 04:19:12+00:00,06
