,callsign,stop,ILS_max
0,MSR757,2021-05-16 13:04:53+00:00,18R
1,QTR8102,2021-05-16 14:48:09+00:00,18R
2,QTR2BL,2021-05-16 11:24:10+00:00,27
3,AMX025,2021-05-16 13:25:04+00:00,18R
4,IBE3060,2021-05-16 08:51:15+00:00,18R
5,AEA1093,2021-05-16 15:28:36+00:00,18R
6,VLG45GN,2021-05-16 17:46:36+00:00,18R
7,VLG46LT,2021-05-16 18:07:20+00:00,18R
8,VLG709G,2021-05-16 14:40:34+00:00,18R
9,VLG33TJ,2021-05-16 07:24:08+00:00,18R
10,VLG6292,2021-05-16 10:14:46+00:00,18R
11,AFR55CP,2021-05-16 15:42:29+00:00,18R
12,AFR32RY,2021-05-16 06:40:42+00:00,18R
13,AFR24DA,2021-05-16 11:50:51+00:00,18R
14,KBD216,2021-05-16 11:53:27+00:00,22
15,AFR19XP,2021-05-16 17:16:20+00:00,18R
16,AFR85MN,2021-05-16 11:12:10+00:00,18R
17,DLH8ER,2021-05-16 20:57:09+00:00,18R
18,DLH1ML,2021-05-16 08:02:12+00:00,18R
19,AHO891J,2021-05-16 17:38:43+00:00,27
20,AHO315W,2021-05-16 18:46:41+00:00,22
21,AWU516E,2021-05-16 13:57:13+00:00,22
22,BAW440,2021-05-16 15:53:48+00:00,18R
23,BZE05B,2021-05-16 09:13:39+00:00,22
24,ABW408,2021-05-16 18:49:57+00:00,18R
25,AZG207,2021-05-16 01:52:15+00:00,18R
26,AFL2550,2021-05-16 10:23:23+00:00,18R
27,ABW753,2021-05-16 22:47:20+00:00,18R
28,VAS8105,2021-05-16 22:26:08+00:00,18R
29,ABW527,2021-05-16 21:20:15+00:00,18R
30,AUA3TC,2021-05-16 17:05:15+00:00,27
31,TFL73K,2021-05-16 09:45:53+00:00,18R
32,TFL518,2021-05-16 20:15:53+00:00,18R
33,OOXLS,2021-05-16 09:35:08+00:00,22
34,LZB461,2021-05-16 06:40:17+00:00,27
35,FXT52W,2021-05-16 17:12:27+00:00,27
36,FIN2XL,2021-05-16 15:15:36+00:00,18R
37,AEE626,2021-05-16 14:03:16+00:00,18R
38,NAF12,2021-05-16 21:22:55+00:00,18R
39,KLM1614,2021-05-16 16:55:05+00:00,27
40,KLM18C,2021-05-16 13:02:23+00:00,18R
41,KLM20P,2021-05-16 17:30:13+00:00,18R
42,TRA18V,2021-05-16 20:44:00+00:00,18R
43,TRA42N,2021-05-16 16:42:54+00:00,18R
44,KLM90Z,2021-05-16 13:22:32+00:00,18R
45,KLM1010,2021-05-16 11:44:32+00:00,18R
46,KLM46A,2021-05-16 16:33:41+00:00,18R
47,KLM23A,2021-05-16 16:52:16+00:00,27
48,KLM24T,2021-05-16 11:02:19+00:00,27
49,KLM88T,2021-05-16 17:25:04+00:00,18R
50,TRA5U,2021-05-16 15:39:35+00:00,18R
51,KLM510,2021-05-16 09:02:21+00:00,18R
52,MPH6162,2021-05-16 12:35:49+00:00,18R
53,KLM714,2021-05-16 07:04:45+00:00,18R
54,KLM794,2021-05-16 10:05:31+00:00,18R
55,KLM856,2021-05-16 02:46:36+00:00,18R
56,KLM736,2021-05-16 09:18:18+00:00,18R
57,KLM740,2021-05-16 13:10:59+00:00,18R
58,KLM104,2021-05-16 08:15:17+00:00,18R
59,KLM672,2021-05-16 05:15:36+00:00,18R
60,KLM642,2021-05-16 05:31:03+00:00,18R
61,KLM588,2021-05-16 03:27:55+00:00,18R
62,KLM220,2021-05-16 05:58:17+00:00,27
63,KLM58U,2021-05-16 12:56:28+00:00,18R
64,KLM1628,2021-05-16 06:06:16+00:00,27
65,KLM82W,2021-05-16 17:16:11+00:00,27
66,KLM1942,2021-05-16 16:36:44+00:00,18R
67,KLM88M,2021-05-16 06:02:56+00:00,27
68,KLM771,2021-05-16 07:10:31+00:00,18R
69,KLM602,2021-05-16 07:07:03+00:00,18R
70,KLM751,2021-05-16 09:47:20+00:00,18R
71,NCG01,2021-05-16 12:40:07+00:00,22
72,KLM20M,2021-05-16 13:14:04+00:00,18R
73,ZXP25,2021-05-16 19:34:28+00:00,22
