,callsign,stop,ILS_max
0,QTR3AU,2021-03-11 12:46:31+00:00,27
1,QTR8102,2021-03-11 14:38:57+00:00,27
2,AEA1091,2021-03-11 08:36:55+00:00,22
3,AFR14AR,2021-03-11 18:13:40+00:00,27
4,AFR124K,2021-03-11 07:26:51+00:00,22
5,AFR17XC,2021-03-11 12:50:19+00:00,27
6,DLH9YV,2021-03-11 09:10:27+00:00,22
7,DLH8JP,2021-03-11 16:16:52+00:00,27
8,DCAWN,2021-03-11 18:28:39+00:00,27
9,AHO298T,2021-03-11 08:34:36+00:00,22
10,BAW430,2021-03-11 09:22:56+00:00,22
11,BCS1443,2021-03-11 19:00:21+00:00,27
12,ABW9391,2021-03-11 12:27:10+00:00,27
13,AFL2550,2021-03-11 09:49:41+00:00,22
14,ABW327,2021-03-11 15:44:11+00:00,27
15,LZB461,2021-03-11 08:31:55+00:00,22
16,BCS1442,2021-03-11 00:43:18+00:00,18C
17,KLM1628,2021-03-11 07:07:48+00:00,22
18,TRA6J,2021-03-11 15:23:44+00:00,27
19,KLM50G,2021-03-11 07:19:10+00:00,22
20,KLM68T,2021-03-11 07:05:53+00:00,18C
21,KLM1386,2021-03-11 15:29:03+00:00,27
22,MPH8322,2021-03-11 04:48:41+00:00,18C
23,MPH7122,2021-03-11 13:58:52+00:00,27
24,KLM642,2021-03-11 07:54:30+00:00,18C
25,KLM736,2021-03-11 06:07:04+00:00,18C
26,KLM755,2021-03-11 11:27:59+00:00,22
27,KLM678,2021-03-11 05:53:34+00:00,18C
28,KLM590,2021-03-11 04:38:58+00:00,18C
29,KLM804,2021-03-11 05:39:02+00:00,18C
30,KLM495,2021-03-11 07:28:57+00:00,22
31,KLM9872,2021-03-11 19:44:15+00:00,27
32,KLM536,2021-03-11 05:04:32+00:00,18C
33,KLM22A,2021-03-11 07:16:52+00:00,22
34,KLM28Q,2021-03-11 07:41:29+00:00,22
35,KLM98Q,2021-03-11 14:21:45+00:00,27
36,KLM592,2021-03-11 08:44:25+00:00,22
37,KLM858,2021-03-11 02:50:49+00:00,18C
38,KLM20M,2021-03-11 13:47:47+00:00,27
39,KLM20P,2021-03-11 18:43:25+00:00,27
40,KLM74R,2021-03-11 07:38:59+00:00,22
41,ZXP26,2021-03-11 13:32:01+00:00,22
42,KLM44R,2021-03-11 06:40:41+00:00,22
43,KLM24T,2021-03-11 12:18:21+00:00,27
44,KLM88J,2021-03-11 07:34:25+00:00,22
45,TRA5672,2021-03-11 21:52:13+00:00,27
